sourceTaxonName	sourceTaxonSpeciesName	sourceTaxonRank	sourceTaxonFamilyName	interactionTypeName	targetTaxonName	targetTaxonSpeciesName	targetTaxonRank	sourceCitation	sourceDOI	referenceDoi	referenceUrl	referenceCitation	sourceTaxonKingdomName	targetTaxonKingdomName
Boa imperator	Boa imperator	species	Boidae	preysOn	Iguana iguana	Iguana iguana	species	http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.				Rodrigo Arrazola. 2019. Boa imperator interaction->preyed on Iguana iguana. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/36383691> on 17 Nov 2021.	Animalia	Animalia
Boa imperator	Boa imperator	species	Boidae	preysOn	Iguana iguana	Iguana iguana	species	http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.				Rodrigo Arrazola. 2019. Iguana iguana interaction->preyed upon by Boa imperator. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/36383609> on 17 Nov 2021.	Animalia	Animalia
Elanoides forficatus	Elanoides forficatus	species	Accipitridae	eats	Iguana iguana	Iguana iguana	species	http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.				Alyssa Crittenden. 2019. Elanoides forficatus eating Iguana iguana. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/24216916> on 17 Nov 2021.	Animalia	Animalia
Eunectes murinus	Eunectes murinus	species	Boidae	eats	Iguana iguana	Iguana iguana	species	http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.				Brad Walker. 2009. Eunectes murinus eating Iguana iguana. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/4634444> on 17 Nov 2021.	Animalia	Animalia
Trachemys stejnegeri	Trachemys stejnegeri	species	Emydidae	eats	Iguana iguana	Iguana iguana	species	http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.				Ricardo J. Colón-Rivera. 2018. Trachemys stejnegeri eating Iguana iguana. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/10520076> on 17 Nov 2021.	Animalia	Animalia
Boa imperator	Boa imperator	species	Boidae	eats	Iguana iguana	Iguana iguana	species	http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.				Mike Cardwell. 2000. Boa imperator eating Iguana iguana. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/9488677> on 17 Nov 2021.	Animalia	Animalia
Buteo plagiatus	Buteo plagiatus	species	Accipitridae	preysOn	Iguana iguana	Iguana iguana	species	http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.				Cheryl Harleston López Espino. 2017. Buteo plagiatus hunting Iguana iguana. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/5035181> on 17 Nov 2021.	Animalia	Animalia
Caracara plancus	Caracara plancus	species	Falconidae	eats	Iguana iguana	Iguana iguana	species	http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.				Robin Gwen Agarwal. 2017. Iguana iguana eaten by Caracara plancus. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/5667794> on 17 Nov 2021.	Animalia	Animalia
Falco sparverius	Falco sparverius	species	Falconidae	preysOn	Iguana iguana	Iguana iguana	species	http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.				anolis23. 2009. Iguana iguana interaction->preyed upon by Falco sparverius. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/162170> on 17 Nov 2021.	Animalia	Animalia
Buteo plagiatus	Buteo plagiatus	species	Accipitridae	preysOn	Iguana iguana	Iguana iguana	species	http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.				Cheryl Harleston López Espino. 2016. Buteo plagiatus hunting Iguana iguana. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/2635745> on 17 Nov 2021.	Animalia	Animalia
Glaucidium brasilianum	Glaucidium brasilianum	species	Strigidae	preysOn	Iguana iguana	Iguana iguana	species	http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.				Cheryl Harleston López Espino. 2015. Glaucidium brasilianum hunting Iguana iguana. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/1740801> on 17 Nov 2021.	Animalia	Animalia
Glaucidium brasilianum	Glaucidium brasilianum	species	Strigidae	eats	Iguana iguana	Iguana iguana	species	http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.				Cheryl Harleston López Espino. 2015. Glaucidium brasilianum hunting Iguana iguana. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/1740801> on 17 Nov 2021.	Animalia	Animalia
Loxocemus bicolor	Loxocemus bicolor	species	Loxocemidae	preysOn	Iguana iguana	Iguana iguana	species	Grundler MC (2020) SquamataBase: a natural history database and R package for comparative biology of snake feeding habits. Biodiversity Data Journal 8: e49943. https://doi.org/10.3897/BDJ.8.e49943		10.3897/BDJ.8.e49943		Corallus hortulanus (Linnaeus, 1758) (Squamata: Serpentes: Boidae) diet: predation events on two Passeriformes at the Atlantic Rainforest, southeastern Brazil. 2016. Herpetology Notes 9: 87-89	Animalia	Animalia
Enulius flavitorques	Enulius flavitorques	species	Dipsadidae	preysOn	Iguana iguana	Iguana iguana	species	Grundler MC (2020) SquamataBase: a natural history database and R package for comparative biology of snake feeding habits. Biodiversity Data Journal 8: e49943. https://doi.org/10.3897/BDJ.8.e49943		10.3897/BDJ.8.e49943		Corallus hortulanus (Linnaeus, 1758) (Squamata: Serpentes: Boidae) diet: predation events on two Passeriformes at the Atlantic Rainforest, southeastern Brazil. 2016. Herpetology Notes 9: 87-89	Animalia	Animalia
Corallus grenadensis	Corallus grenadensis	species	Boidae	preysOn	Iguana iguana	Iguana iguana	species	Grundler MC (2020) SquamataBase: a natural history database and R package for comparative biology of snake feeding habits. Biodiversity Data Journal 8: e49943. https://doi.org/10.3897/BDJ.8.e49943		10.3897/BDJ.8.e49943		Corallus hortulanus (Linnaeus, 1758) (Squamata: Serpentes: Boidae) diet: predation events on two Passeriformes at the Atlantic Rainforest, southeastern Brazil. 2016. Herpetology Notes 9: 87-89	Animalia	Animalia
Rhinobothryum lentiginosum	Rhinobothryum lentiginosum	species	Colubridae	preysOn	Iguana iguana	Iguana iguana	species	Grundler MC (2020) SquamataBase: a natural history database and R package for comparative biology of snake feeding habits. Biodiversity Data Journal 8: e49943. https://doi.org/10.3897/BDJ.8.e49943		10.3897/BDJ.8.e49943		Corallus hortulanus (Linnaeus, 1758) (Squamata: Serpentes: Boidae) diet: predation events on two Passeriformes at the Atlantic Rainforest, southeastern Brazil. 2016. Herpetology Notes 9: 87-89	Animalia	Animalia
Oxybelis fulgidus	Oxybelis fulgidus	species	Colubridae	preysOn	Iguana iguana	Iguana iguana	species	Grundler MC (2020) SquamataBase: a natural history database and R package for comparative biology of snake feeding habits. Biodiversity Data Journal 8: e49943. https://doi.org/10.3897/BDJ.8.e49943		10.3897/BDJ.8.e49943		Corallus hortulanus (Linnaeus, 1758) (Squamata: Serpentes: Boidae) diet: predation events on two Passeriformes at the Atlantic Rainforest, southeastern Brazil. 2016. Herpetology Notes 9: 87-89	Animalia	Animalia
Siphlophis compressus	Siphlophis compressus	species	Colubridae	preysOn	Iguana iguana	Iguana iguana	species	Grundler MC (2020) SquamataBase: a natural history database and R package for comparative biology of snake feeding habits. Biodiversity Data Journal 8: e49943. https://doi.org/10.3897/BDJ.8.e49943		10.3897/BDJ.8.e49943		Corallus hortulanus (Linnaeus, 1758) (Squamata: Serpentes: Boidae) diet: predation events on two Passeriformes at the Atlantic Rainforest, southeastern Brazil. 2016. Herpetology Notes 9: 87-89	Animalia	Animalia
Borikenophis portoricensis	Borikenophis portoricensis	species	Dipsadidae	preysOn	Iguana iguana	Iguana iguana	species	Grundler MC (2020) SquamataBase: a natural history database and R package for comparative biology of snake feeding habits. Biodiversity Data Journal 8: e49943. https://doi.org/10.3897/BDJ.8.e49943		10.3897/BDJ.8.e49943		Corallus hortulanus (Linnaeus, 1758) (Squamata: Serpentes: Boidae) diet: predation events on two Passeriformes at the Atlantic Rainforest, southeastern Brazil. 2016. Herpetology Notes 9: 87-89	Animalia	Animalia
Plasmodium rhadinurum	Plasmodium rhadinurum	species	Plasmodiidae	hasHost	Iguana iguana	Iguana iguana	species	National Museum of Natural History, Smithsonian Institution IPT RSS Feed				http://n2t.net/ark:/65665/3dc396058-0ec2-4afb-a900-3cb7364843d3	Chromista	Animalia
Ozolaimus cirratus	Ozolaimus cirratus	species	Pharyngodonidae	hasHost	Iguana iguana	Iguana iguana	species	National Museum of Natural History, Smithsonian Institution IPT RSS Feed				http://n2t.net/ark:/65665/3d9dc5734-7d55-4bf4-b4ae-3c12ef68ff9e	Animalia	Animalia
Oxyuris iguanae	Oxyuris iguanae	species	Oxyuridae	hasHost	Iguana iguana	Iguana iguana	species	National Museum of Natural History, Smithsonian Institution IPT RSS Feed				http://n2t.net/ark:/65665/3cb8d4a42-1cf6-4756-87f4-b8b4b5856256	Animalia	Animalia
Alaeuris vogelsangi	Alaeuris vogelsangi	species	Pharyngodonidae	hasHost	Iguana iguana	Iguana iguana	species	National Museum of Natural History, Smithsonian Institution IPT RSS Feed				http://n2t.net/ark:/65665/3a99f9222-5813-4d69-b2e5-3079d8051f6e	Animalia	Animalia
Plasmodium rhadinurum	Plasmodium rhadinurum	species	Plasmodiidae	hasHost	Iguana iguana	Iguana iguana	species	National Museum of Natural History, Smithsonian Institution IPT RSS Feed				http://n2t.net/ark:/65665/33b8bd0e5-43f5-4e9c-8992-b23c9b7d5231	Chromista	Animalia
Plasmodium rhadinurum	Plasmodium rhadinurum	species	Plasmodiidae	hasHost	Iguana iguana	Iguana iguana	species	National Museum of Natural History, Smithsonian Institution IPT RSS Feed				http://n2t.net/ark:/65665/3296d738f-0a0a-4470-8c93-08f7bb4ef991	Chromista	Animalia
Ozolaimus monhystera	Ozolaimus monhystera	species	Pharyngodonidae	hasHost	Iguana iguana	Iguana iguana	species	National Museum of Natural History, Smithsonian Institution IPT RSS Feed				http://n2t.net/ark:/65665/323f98b84-0fdf-4486-9d6e-8306b4a61880	Animalia	Animalia
Ozolaimus cirratus	Ozolaimus cirratus	species	Pharyngodonidae	hasHost	Iguana iguana	Iguana iguana	species	National Museum of Natural History, Smithsonian Institution IPT RSS Feed				http://n2t.net/ark:/65665/312590855-ecae-4ae0-86df-46749a83efbe	Animalia	Animalia
Alaeuris hirsutus	Alaeuris hirsutus	species	Pharyngodonidae	hasHost	Iguana iguana rhinolopha	Iguana iguana		National Museum of Natural History, Smithsonian Institution IPT RSS Feed				http://n2t.net/ark:/65665/30c6f92d7-92d5-4b32-af88-6802cee0873e	Animalia	Animalia
Ozolaimus megatyphlon	Ozolaimus megatyphlon	species	Pharyngodonidae	hasHost	Iguana iguana	Iguana iguana	species	National Museum of Natural History, Smithsonian Institution IPT RSS Feed				http://n2t.net/ark:/65665/303880f48-c9f2-4eb7-9ed7-6b997e1ba7f2	Animalia	Animalia
Ozolaimus megatyphlon	Ozolaimus megatyphlon	species	Pharyngodonidae	hasHost	Iguana iguana	Iguana iguana	species	National Museum of Natural History, Smithsonian Institution IPT RSS Feed				http://n2t.net/ark:/65665/30124ca34-9207-4b44-967c-082c9da1d8ac	Animalia	Animalia
Plasmodium rhadinurum	Plasmodium rhadinurum	species	Plasmodiidae	hasHost	Iguana iguana	Iguana iguana	species	Scott L. Gardner and Gabor R. Racz (2021). University of Nebraska State Museum - Parasitology. Harold W. Manter Laboratory of Parasitology. University of Nebraska State Museum.				http://arctos.database.museum/guid/HWML:Para:55627	Chromista	Animalia
Plasmodium rhadinurum	Plasmodium rhadinurum	species	Plasmodiidae	hasHost	Iguana iguana	Iguana iguana	species	Scott L. Gardner and Gabor R. Racz (2021). University of Nebraska State Museum - Parasitology. Harold W. Manter Laboratory of Parasitology. University of Nebraska State Museum.				http://arctos.database.museum/guid/HWML:Para:57928	Chromista	Animalia
Plasmodium rhadinurum	Plasmodium rhadinurum	species	Plasmodiidae	hasHost	Iguana iguana	Iguana iguana	species	Scott L. Gardner and Gabor R. Racz (2021). University of Nebraska State Museum - Parasitology. Harold W. Manter Laboratory of Parasitology. University of Nebraska State Museum.				http://arctos.database.museum/guid/HWML:Para:56072	Chromista	Animalia
Plasmodium rhadinurum	Plasmodium rhadinurum	species	Plasmodiidae	hasHost	Iguana iguana	Iguana iguana	species	Scott L. Gardner and Gabor R. Racz (2021). University of Nebraska State Museum - Parasitology. Harold W. Manter Laboratory of Parasitology. University of Nebraska State Museum.				http://arctos.database.museum/guid/HWML:Para:55625	Chromista	Animalia
Plasmodium minasense	Plasmodium minasense	species	Plasmodiidae	hasHost	Iguana iguana	Iguana iguana	species	Scott L. Gardner and Gabor R. Racz (2021). University of Nebraska State Museum - Parasitology. Harold W. Manter Laboratory of Parasitology. University of Nebraska State Museum.				http://arctos.database.museum/guid/HWML:Para:54325	Chromista	Animalia
Plasmodium rhadinurum	Plasmodium rhadinurum	species	Plasmodiidae	hasHost	Iguana iguana	Iguana iguana	species	Scott L. Gardner and Gabor R. Racz (2021). University of Nebraska State Museum - Parasitology. Harold W. Manter Laboratory of Parasitology. University of Nebraska State Museum.				http://arctos.database.museum/guid/HWML:Para:57958	Chromista	Animalia
Plasmodium minasense	Plasmodium minasense	species	Plasmodiidae	hasHost	Iguana iguana	Iguana iguana	species	Scott L. Gardner and Gabor R. Racz (2021). University of Nebraska State Museum - Parasitology. Harold W. Manter Laboratory of Parasitology. University of Nebraska State Museum.				http://arctos.database.museum/guid/HWML:Para:74064	Chromista	Animalia
Plasmodium minasense	Plasmodium minasense	species	Plasmodiidae	hasHost	Iguana iguana	Iguana iguana	species	Scott L. Gardner and Gabor R. Racz (2021). University of Nebraska State Museum - Parasitology. Harold W. Manter Laboratory of Parasitology. University of Nebraska State Museum.				http://arctos.database.museum/guid/HWML:Para:74058	Chromista	Animalia
Plasmodium rhadinurum	Plasmodium rhadinurum	species	Plasmodiidae	hasHost	Iguana iguana	Iguana iguana	species	Scott L. Gardner and Gabor R. Racz (2021). University of Nebraska State Museum - Parasitology. Harold W. Manter Laboratory of Parasitology. University of Nebraska State Museum.				http://arctos.database.museum/guid/HWML:Para:54367	Chromista	Animalia
Plasmodium rhadinurum	Plasmodium rhadinurum	species	Plasmodiidae	hasHost	Iguana iguana	Iguana iguana	species	Scott L. Gardner and Gabor R. Racz (2021). University of Nebraska State Museum - Parasitology. Harold W. Manter Laboratory of Parasitology. University of Nebraska State Museum.				http://arctos.database.museum/guid/HWML:Para:54372	Chromista	Animalia
Plasmodium rhadinurum	Plasmodium rhadinurum	species	Plasmodiidae	hasHost	Iguana iguana	Iguana iguana	species	Scott L. Gardner and Gabor R. Racz (2021). University of Nebraska State Museum - Parasitology. Harold W. Manter Laboratory of Parasitology. University of Nebraska State Museum.				http://arctos.database.museum/guid/HWML:Para:54375	Chromista	Animalia
Plasmodium rhadinurum	Plasmodium rhadinurum	species	Plasmodiidae	hasHost	Iguana iguana	Iguana iguana	species	Scott L. Gardner and Gabor R. Racz (2021). University of Nebraska State Museum - Parasitology. Harold W. Manter Laboratory of Parasitology. University of Nebraska State Museum.				http://arctos.database.museum/guid/HWML:Para:58347	Chromista	Animalia
Plasmodium rhadinurum	Plasmodium rhadinurum	species	Plasmodiidae	hasHost	Iguana iguana	Iguana iguana	species	Scott L. Gardner and Gabor R. Racz (2021). University of Nebraska State Museum - Parasitology. Harold W. Manter Laboratory of Parasitology. University of Nebraska State Museum.				http://arctos.database.museum/guid/HWML:Para:56451	Chromista	Animalia
Plasmodium rhadinurum	Plasmodium rhadinurum	species	Plasmodiidae	hasHost	Iguana iguana	Iguana iguana	species	Scott L. Gardner and Gabor R. Racz (2021). University of Nebraska State Museum - Parasitology. Harold W. Manter Laboratory of Parasitology. University of Nebraska State Museum.				http://arctos.database.museum/guid/HWML:Para:56456	Chromista	Animalia
Plasmodium minasense	Plasmodium minasense	species	Plasmodiidae	hasHost	Iguana iguana	Iguana iguana	species	Scott L. Gardner and Gabor R. Racz (2021). University of Nebraska State Museum - Parasitology. Harold W. Manter Laboratory of Parasitology. University of Nebraska State Museum.				http://arctos.database.museum/guid/HWML:Para:74060	Chromista	Animalia
Plasmodium rhadinurum	Plasmodium rhadinurum	species	Plasmodiidae	hasHost	Iguana iguana	Iguana iguana	species	Scott L. Gardner and Gabor R. Racz (2021). University of Nebraska State Museum - Parasitology. Harold W. Manter Laboratory of Parasitology. University of Nebraska State Museum.				http://arctos.database.museum/guid/HWML:Para:72019	Chromista	Animalia
Plasmodium rhadinurum	Plasmodium rhadinurum	species	Plasmodiidae	hasHost	Iguana iguana	Iguana iguana	species	Scott L. Gardner and Gabor R. Racz (2021). University of Nebraska State Museum - Parasitology. Harold W. Manter Laboratory of Parasitology. University of Nebraska State Museum.				http://arctos.database.museum/guid/HWML:Para:57968	Chromista	Animalia
Plasmodium rhadinurum	Plasmodium rhadinurum	species	Plasmodiidae	hasHost	Iguana iguana	Iguana iguana	species	Scott L. Gardner and Gabor R. Racz (2021). University of Nebraska State Museum - Parasitology. Harold W. Manter Laboratory of Parasitology. University of Nebraska State Museum.				http://arctos.database.museum/guid/HWML:Para:57976	Chromista	Animalia
Plasmodium rhadinurum	Plasmodium rhadinurum	species	Plasmodiidae	hasHost	Iguana iguana	Iguana iguana	species	Scott L. Gardner and Gabor R. Racz (2021). University of Nebraska State Museum - Parasitology. Harold W. Manter Laboratory of Parasitology. University of Nebraska State Museum.				http://arctos.database.museum/guid/HWML:Para:57935	Chromista	Animalia
Plasmodium rhadinurum	Plasmodium rhadinurum	species	Plasmodiidae	hasHost	Iguana iguana	Iguana iguana	species	Scott L. Gardner and Gabor R. Racz (2021). University of Nebraska State Museum - Parasitology. Harold W. Manter Laboratory of Parasitology. University of Nebraska State Museum.				http://arctos.database.museum/guid/HWML:Para:51713	Chromista	Animalia
Plasmodium rhadinurum	Plasmodium rhadinurum	species	Plasmodiidae	hasHost	Iguana iguana	Iguana iguana	species	Scott L. Gardner and Gabor R. Racz (2021). University of Nebraska State Museum - Parasitology. Harold W. Manter Laboratory of Parasitology. University of Nebraska State Museum.				http://arctos.database.museum/guid/HWML:Para:55633	Chromista	Animalia
Plasmodium minasense	Plasmodium minasense	species	Plasmodiidae	hasHost	Iguana iguana	Iguana iguana	species	Scott L. Gardner and Gabor R. Racz (2021). University of Nebraska State Museum - Parasitology. Harold W. Manter Laboratory of Parasitology. University of Nebraska State Museum.				http://arctos.database.museum/guid/HWML:Para:74062	Chromista	Animalia
Plasmodium rhadinurum	Plasmodium rhadinurum	species	Plasmodiidae	hasHost	Iguana iguana	Iguana iguana	species	Scott L. Gardner and Gabor R. Racz (2021). University of Nebraska State Museum - Parasitology. Harold W. Manter Laboratory of Parasitology. University of Nebraska State Museum.				http://arctos.database.museum/guid/HWML:Para:57941	Chromista	Animalia
Plasmodium rhadinurum	Plasmodium rhadinurum	species	Plasmodiidae	hasHost	Iguana iguana	Iguana iguana	species	Scott L. Gardner and Gabor R. Racz (2021). University of Nebraska State Museum - Parasitology. Harold W. Manter Laboratory of Parasitology. University of Nebraska State Museum.				http://arctos.database.museum/guid/HWML:Para:58348	Chromista	Animalia
Plasmodium rhadinurum	Plasmodium rhadinurum	species	Plasmodiidae	hasHost	Iguana iguana	Iguana iguana	species	Scott L. Gardner and Gabor R. Racz (2021). University of Nebraska State Museum - Parasitology. Harold W. Manter Laboratory of Parasitology. University of Nebraska State Museum.				http://arctos.database.museum/guid/HWML:Para:57950	Chromista	Animalia
Plasmodium rhadinurum	Plasmodium rhadinurum	species	Plasmodiidae	hasHost	Iguana iguana	Iguana iguana	species	Scott L. Gardner and Gabor R. Racz (2021). University of Nebraska State Museum - Parasitology. Harold W. Manter Laboratory of Parasitology. University of Nebraska State Museum.				http://arctos.database.museum/guid/HWML:Para:72021	Chromista	Animalia
Plasmodium minasense	Plasmodium minasense	species	Plasmodiidae	hasHost	Iguana iguana	Iguana iguana	species	Scott L. Gardner and Gabor R. Racz (2021). University of Nebraska State Museum - Parasitology. Harold W. Manter Laboratory of Parasitology. University of Nebraska State Museum.				http://arctos.database.museum/guid/HWML:Para:54322	Chromista	Animalia
Plasmodium rhadinurum	Plasmodium rhadinurum	species	Plasmodiidae	hasHost	Iguana iguana	Iguana iguana	species	Scott L. Gardner and Gabor R. Racz (2021). University of Nebraska State Museum - Parasitology. Harold W. Manter Laboratory of Parasitology. University of Nebraska State Museum.				http://arctos.database.museum/guid/HWML:Para:54377	Chromista	Animalia
Plasmodium rhadinurum	Plasmodium rhadinurum	species	Plasmodiidae	hasHost	Iguana iguana	Iguana iguana	species	Scott L. Gardner and Gabor R. Racz (2021). University of Nebraska State Museum - Parasitology. Harold W. Manter Laboratory of Parasitology. University of Nebraska State Museum.				http://arctos.database.museum/guid/HWML:Para:57926	Chromista	Animalia
