id,label,kingdom,gbifkey,occupancy,alien
Autographa gamma,Autographa gamma,Animalia,1792418,30,False
Bombus lapidarius,Bombus lapidarius,Animalia,1340301,8485,False
Schizophyllum commune,Schizophyllum commune,Fungi,5241128,9,False
Poa annua,Poa annua,Plantae,2704179,7118,False
Rumex acetosella,Rumex acetosella,Plantae,2888995,5430,False
Ricinus communis,Ricinus communis,Plantae,5380041,10,True
Sciurus carolinensis,Sciurus carolinensis,Animalia,5219681,18,True
Canis lupus,Canis lupus,Animalia,5219173,14,False
Ctenocephalides felis,Ctenocephalides felis,Animalia,1419472,22,False
Corvus corax,Corvus corax,Animalia,2482492,466,False
Isodontia mexicana,Isodontia mexicana,Animalia,1346919,18,False
Halictus rubicundus,Halictus rubicundus,Animalia,1353453,950,False
Ancistrocerus gazella,Ancistrocerus gazella,Animalia,5037434,89,False
Formica fusca,Formica fusca,Animalia,1314881,1816,False
Cervus elaphus,Cervus elaphus,Animalia,2440958,11,False
Salmo salar,Salmo salar,Animalia,7595433,9,False
Salmo trutta,Salmo trutta,Animalia,8215487,159,False
Anguilla anguilla,Anguilla anguilla,Animalia,5212973,1834,False
Rutilus rutilus,Rutilus rutilus,Animalia,2359706,2096,False
Esox lucius,Esox lucius,Animalia,2346633,1413,False
Chaetopteryx villosa,Chaetopteryx villosa,Animalia,1442307,14,False
Eristalis tenax,Eristalis tenax,Animalia,1541217,54,False
Drosera rotundifolia,Drosera rotundifolia,Plantae,3191030,944,False
Coenonympha pamphilus,Coenonympha pamphilus,Animalia,1911461,6855,False
Libellula depressa,Libellula depressa,Animalia,1427883,76,False
Sympetrum vulgatum,Sympetrum vulgatum,Animalia,1428311,6,False
Phylloneta impressa,Phylloneta impressa,Animalia,6718007,28,False
Theridion pictum,Theridion pictum,Animalia,2156940,31,False
Ischnura elegans,Ischnura elegans,Animalia,1423395,102,False
Sympetrum sanguineum,Sympetrum sanguineum,Animalia,1428217,61,False
Conocephalus dorsalis,Conocephalus dorsalis,Animalia,1683331,2535,False
Neoscona adianta,Neoscona adianta,Animalia,2158851,49,False
Dolomedes fimbriatus,Dolomedes fimbriatus,Animalia,2150955,67,False
Vanessa atalanta,Vanessa atalanta,Animalia,1898286,14858,False
Harmonia axyridis,Harmonia axyridis,Animalia,4989904,7488,True
Myiopsitta monachus,Myiopsitta monachus,Animalia,2479407,108,True
Procyon lotor,Procyon lotor,Animalia,5218786,1541,True
Vanessa cardui,Vanessa cardui,Animalia,4299368,12828,False
Pararge aegeria,Pararge aegeria,Animalia,8049830,14464,False
Eriobotrya japonica,Eriobotrya japonica,Plantae,3024146,19,False
Lepidium latifolium,Lepidium latifolium,Plantae,5376692,76,True
Foeniculum vulgare,Foeniculum vulgare,Plantae,3034922,709,True
Bubulcus ibis,Bubulcus ibis,Animalia,2480830,1383,False
Mormo maura,Mormo maura,Animalia,1761735,8,False
Forficula auricularia,Forficula auricularia,Animalia,1419845,1331,False
Sylvia atricapilla,Sylvia atricapilla,Animalia,2492956,14250,False
Turdus philomelos,Turdus philomelos,Animalia,7901064,13947,False
Phoenicurus ochruros,Phoenicurus ochruros,Animalia,5739315,11998,False
Sylvia borin,Sylvia borin,Animalia,2492942,10396,False
Phoenicurus phoenicurus,Phoenicurus phoenicurus,Animalia,5739317,6385,False
Sturnus vulgaris,Sturnus vulgaris,Animalia,9809229,14454,False
Meles meles,Meles meles,Animalia,2433875,20,False
Sus scrofa,Sus scrofa,Animalia,7705930,35,False
Erinaceus europaeus,Erinaceus europaeus,Animalia,5219616,28,False
Oriolus oriolus,Oriolus oriolus,Animalia,2488949,5389,False
Ficedula hypoleuca,Ficedula hypoleuca,Animalia,2492606,4001,False
Cyanistes caeruleus,Cyanistes caeruleus,Animalia,2487879,14359,False
Sylvia undata,Sylvia undata,Animalia,2492949,120,False
Pica pica,Pica pica,Animalia,5229490,13676,False
Sylvia communis,Sylvia communis,Animalia,2492943,13272,False
Saxicola torquatus,Saxicola torquatus,Animalia,2492526,852,False
Luscinia megarhynchos,Luscinia megarhynchos,Animalia,7660710,4809,False
Turdus iliacus,Turdus iliacus,Animalia,2490781,11112,False
Phylloscopus bonelli,Phylloscopus bonelli,Animalia,2493070,73,False
Cyanopica cooki,Cyanopica cooki,Animalia,5844936,6,True
Passer domesticus,Passer domesticus,Animalia,5231190,13882,False
Phylloscopus trochilus,Phylloscopus trochilus,Animalia,2493052,10099,False
Cettia cetti,Cettia cetti,Animalia,2493012,4202,False
Trichoglossus haematodus,Trichoglossus haematodus,Animalia,2479686,6,True
Celastrina argiolus,Celastrina argiolus,Animalia,1925918,11950,False
Haemorhous mexicanus,Haemorhous mexicanus,Animalia,8323485,23,True
Campyloneura virgula,Campyloneura virgula,Animalia,5153002,151,False
Nezara viridula,Nezara viridula,Animalia,2078852,174,False
Scoliopteryx libatrix,Scoliopteryx libatrix,Animalia,1798449,10,False
Ficus carica,Ficus carica,Plantae,5361909,196,True
Zeuzera pyrina,Zeuzera pyrina,Animalia,1730978,6,False
Linepithema humile,Linepithema humile,Animalia,1316908,8,True
Colletes succinctus,Colletes succinctus,Animalia,1348704,433,False
Hylaeus pictipes,Hylaeus pictipes,Animalia,1349889,77,False
Aglais urticae,Aglais urticae,Animalia,1894840,12240,False
Capreolus capreolus,Capreolus capreolus,Animalia,5220126,72,False
Pieris brassicae,Pieris brassicae,Animalia,1920506,12818,False
Lampides boeticus,Lampides boeticus,Animalia,1924713,133,False
Osmia rufa,Osmia rufa,Animalia,5039314,3817,False
Myzus persicae,Myzus persicae,Animalia,2076179,27,False
Megachile rotundata,Megachile rotundata,Animalia,1335648,149,False
Amblyteles armatorius,Amblyteles armatorius,Animalia,1286739,84,False
Graphosoma italicum,Graphosoma italicum,Animalia,7437802,3424,False
Ichneumon xanthorius,Ichneumon xanthorius,Animalia,5030406,153,False
Coccinella septempunctata,Coccinella septempunctata,Animalia,4990191,3810,False
Adalia bipunctata,Adalia bipunctata,Animalia,1043097,1725,False
Pieris rapae,Pieris rapae,Animalia,1920496,14956,False
Vespula rufa,Vespula rufa,Animalia,1311676,44,False
Anthrenus verbasci,Anthrenus verbasci,Animalia,1095895,6,False
Aulacorthum solani,Aulacorthum solani,Animalia,2076745,16,False
Hylaeus hyalinatus,Hylaeus hyalinatus,Animalia,1349638,671,False
Volucella bombylans,Volucella bombylans,Animalia,1541763,11,False
Pieris napi,Pieris napi,Animalia,1920494,13279,False
Lycaena phlaeas,Lycaena phlaeas,Animalia,1929697,10792,False
Inachis io,Inachis io,Animalia,5881450,102,False
Nomada goodeniana,Nomada goodeniana,Animalia,1343694,901,False
Colletes hederae,Colletes hederae,Animalia,1348914,1661,False
Bombus hortorum,Bombus hortorum,Animalia,1340542,2727,False
Lasioglossum fulvicorne,Lasioglossum fulvicorne,Animalia,1354651,469,False
Sphecodes niger,Sphecodes niger,Animalia,1351513,10,False
Lasioglossum morio,Lasioglossum morio,Animalia,1354206,1081,False
Bombus sylvestris,Bombus sylvestris,Animalia,1340333,563,False
Andrena bicolor,Andrena bicolor,Animalia,1356887,1344,False
Andrena cineraria,Andrena cineraria,Animalia,1358088,1027,False
Columba palumbus,Columba palumbus,Animalia,2495455,15277,False
Synophropsis lauri,Synophropsis lauri,Animalia,2046028,11,False
Orobanche hederae,Orobanche hederae,Plantae,3733128,208,False
Colletes (Colletes) hederae,Colletes (Colletes) hederae,Animalia,1348914,1661,False
Turdus viscivorus,Turdus viscivorus,Animalia,2490774,10939,False
Calocera viscosa,Calocera viscosa,Fungi,9134585,13,False
Derephysia (Derephysia) foliacea,Derephysia (Derephysia) foliacea,Animalia,4489029,13,False
Liophloeus tessulatus,Liophloeus tessulatus,Animalia,1184505,6,False
Pyrrhula pyrrhula,Pyrrhula pyrrhula,Animalia,2494543,5751,False
Sylvia curruca,Sylvia curruca,Animalia,2492960,5468,False
Streptopelia decaocto,Streptopelia decaocto,Animalia,2495696,13344,False
Sitta europaea,Sitta europaea,Animalia,2484916,11089,False
Corvus corone,Corvus corone,Animalia,9409796,14927,False
Aegithalos caudatus,Aegithalos caudatus,Animalia,2495000,12924,False
Poecile palustris,Poecile palustris,Animalia,2487843,2946,False
Turdus torquatus,Turdus torquatus,Animalia,7865305,4141,False
Gallinula chloropus,Gallinula chloropus,Animalia,5228199,12625,False
Dendrocopos major,Dendrocopos major,Animalia,2477968,14212,False
Coccothraustes coccothraustes,Coccothraustes coccothraustes,Animalia,2494329,7112,False
Lophophanes cristatus,Lophophanes cristatus,Animalia,2487883,7403,False
Loxia curvirostra,Loxia curvirostra,Animalia,9629160,5847,False
Serinus serinus,Serinus serinus,Animalia,2494200,1958,False
Periparus ater,Periparus ater,Animalia,2487871,9595,False
Aglais io,Aglais io,Animalia,4535827,14775,False
Lestica clypeata,Lestica clypeata,Animalia,4495031,69,False
Gonocerus acuteangulatus,Gonocerus acuteangulatus,Animalia,4390084,893,False
Favonius quercus,Favonius quercus,Animalia,4535180,4296,False
Argynnis paphia,Argynnis paphia,Animalia,1909398,1848,False
Maniola jurtina,Maniola jurtina,Animalia,5135513,13559,False
Propylaea quatuordecimpunctata,Propylaea quatuordecimpunctata,Animalia,1043572,2076,False
Scymnus interruptus,Scymnus interruptus,Animalia,5749524,8,False
Polyommatus icarus,Polyommatus icarus,Animalia,5140214,12834,False
Xylocopa violacea,Xylocopa violacea,Animalia,1342108,407,False
Megachile pilidens,Megachile pilidens,Animalia,1335229,6,False
Mesembrina meridiana,Mesembrina meridiana,Animalia,1525771,6,False
Auricularia auricula-judae,Auricularia auricula-judae,Fungi,5249271,17,False
Aphis hederae,Aphis hederae,Animalia,2072752,27,False
Philoscia muscorum,Philoscia muscorum,Animalia,2209507,13,False
Myocastor coypus,Myocastor coypus,Animalia,4264680,212,True
Hedera helix,Hedera helix,Plantae,8351737,7040,False
Merodon equestris,Merodon equestris,Animalia,1544340,6,False
Satyrium pruni,Satyrium pruni,Animalia,5882980,8,False
Thecla betulae,Thecla betulae,Animalia,1930110,2180,False
Thymelicus sylvestris,Thymelicus sylvestris,Animalia,8273661,887,False
Satyrium w-album,Satyrium w-album,Animalia,5882965,796,False
Limenitis camilla,Limenitis camilla,Animalia,8429428,1638,False
Sphecodes crassus,Sphecodes crassus,Animalia,1351387,82,False
Nomada fabriciana,Nomada fabriciana,Animalia,1343441,871,False
Bombus pratorum,Bombus pratorum,Animalia,1340305,5825,False
Colletes daviesanus,Colletes daviesanus,Animalia,1348620,1425,False
Hylaeus signatus,Hylaeus signatus,Animalia,1349904,554,False
Hylaeus cornutus,Hylaeus cornutus,Animalia,1349619,43,False
Sphecodes geoffrellus,Sphecodes geoffrellus,Animalia,5042560,64,False
Nomada flavoguttata,Nomada flavoguttata,Animalia,1344004,537,False
Lasioglossum parvulum,Lasioglossum parvulum,Animalia,1354342,119,False
Lasioglossum laevigatum,Lasioglossum laevigatum,Animalia,1354272,8,False
Megachile centuncularis,Megachile centuncularis,Animalia,1335505,1180,False
Sphecodes pellucidus,Sphecodes pellucidus,Animalia,1351446,195,False
Sphecodes hyalinatus,Sphecodes hyalinatus,Animalia,1351574,27,False
Nomada flava,Nomada flava,Animalia,1343896,1802,False
Colletes fodiens,Colletes fodiens,Animalia,1348658,124,False
Sphecodes ferruginatus,Sphecodes ferruginatus,Animalia,1351360,29,False
Andrena proxima,Andrena proxima,Animalia,1357354,492,False
Andrena denticulata,Andrena denticulata,Animalia,1357548,132,False
Andrena pilipes,Andrena pilipes,Animalia,1357721,65,False
Andrena bimaculata,Andrena bimaculata,Animalia,1357005,76,False
Andrena fucata,Andrena fucata,Animalia,1357543,21,False
Andrena coitana,Andrena coitana,Animalia,1357215,23,False
Andrena minutuloides,Andrena minutuloides,Animalia,1356982,30,False
Andrena fulvago,Andrena fulvago,Animalia,1357646,199,False
Andrena helvola,Andrena helvola,Animalia,1357179,193,False
Andrena labiata,Andrena labiata,Animalia,1357207,544,False
Eysarcoris venustissimus,Eysarcoris venustissimus,Animalia,4485952,397,False
Palomena prasina,Palomena prasina,Animalia,4485776,3080,False
Hyadaphis foeniculi,Hyadaphis foeniculi,Animalia,2074115,15,False
Agapanthia villosoviridescens,Agapanthia villosoviridescens,Animalia,8546826,109,False
Trichius fasciatus,Trichius fasciatus,Animalia,1085188,16,False
Ectemnius continuus,Ectemnius continuus,Animalia,4494950,216,False
Ctenichneumon panzeri,Ctenichneumon panzeri,Animalia,1288136,74,False
Ichneumon sarcitorius,Ichneumon sarcitorius,Animalia,5030775,83,False
Symmorphus bifasciatus,Symmorphus bifasciatus,Animalia,1331436,167,False
Achaius oratorius,Achaius oratorius,Animalia,1286594,96,False
Dolichovespula saxonica,Dolichovespula saxonica,Animalia,1311805,106,False
Clytus arietis,Clytus arietis,Animalia,7994366,157,False
Ochlodes sylvanus,Ochlodes sylvanus,Animalia,1946844,10002,False
Paracorymbia fulva,Paracorymbia fulva,Animalia,1143990,63,False
Heracleum sphondylium,Heracleum sphondylium,Plantae,3034830,8193,False
Arge cyanocrocea,Arge cyanocrocea,Animalia,5868173,257,False
Molorchus umbellatarum,Molorchus umbellatarum,Animalia,8138668,14,False
Tenthredo temula,Tenthredo temula,Animalia,4490515,71,False
Athalia rosae,Athalia rosae,Animalia,4490913,346,False
Anthophila fabriciana,Anthophila fabriciana,Animalia,5123461,6,False
Leptura quadrifasciata,Leptura quadrifasciata,Animalia,4458782,30,False
Araschnia levana,Araschnia levana,Animalia,1902533,11739,False
Peritrechus geniculatus,Peritrechus geniculatus,Animalia,4486439,50,False
Anisodactylus binotatus,Anisodactylus binotatus,Animalia,1036917,6,False
Plagiognathus arbustorum,Plagiognathus arbustorum,Animalia,5152968,374,False
Orthops basalis,Orthops basalis,Animalia,5759067,177,False
Agrypnus murinus,Agrypnus murinus,Animalia,4428942,10,False
Harpalus griseus,Harpalus griseus,Animalia,6097919,8,False
Carpocoris fuscispinus,Carpocoris fuscispinus,Animalia,4485800,13,False
Malachius bipustulatus,Malachius bipustulatus,Animalia,4449375,22,False
Dolycoris baccarum,Dolycoris baccarum,Animalia,4485824,1726,False
Carpocoris purpureipennis,Carpocoris purpureipennis,Animalia,4485798,155,False
Amara aenea,Amara aenea,Animalia,1035185,7,False
Amara familiaris,Amara familiaris,Animalia,1035195,8,False
Chloromyia formosa,Chloromyia formosa,Animalia,1576923,7,False
Emberiza citrinella,Emberiza citrinella,Animalia,2491534,6717,False
Grammoptera ruficornis,Grammoptera ruficornis,Animalia,4458797,116,False
Scathophaga stercoraria,Scathophaga stercoraria,Animalia,1556243,24,False
Linaria cannabina,Linaria cannabina,Animalia,8104397,11629,False
Chloris chloris,Chloris chloris,Animalia,5845582,13603,False
Anaspis maculata,Anaspis maculata,Animalia,5878447,7,False
Carduelis carduelis,Carduelis carduelis,Animalia,2494686,11930,False
Corvus frugilegus,Corvus frugilegus,Animalia,2482513,8944,False
Alectoris rufa,Alectoris rufa,Animalia,2474051,109,True
Synanthedon formicaeformis,Synanthedon formicaeformis,Animalia,1940510,6,False
Himacerus apterus,Himacerus apterus,Animalia,2021041,568,False
Brachymeria tibialis,Brachymeria tibialis,Animalia,1362207,9,False
Lacanobia oleracea,Lacanobia oleracea,Animalia,1759083,9,False
Acridotheres tristis,Acridotheres tristis,Animalia,2489005,10,True
Macroglossum stellatarum,Macroglossum stellatarum,Animalia,1864652,34,False
Meconema meridionale,Meconema meridionale,Animalia,1690429,931,True
Euryopis flavomaculata,Euryopis flavomaculata,Animalia,2155761,197,False
Linyphia hortensis,Linyphia hortensis,Animalia,2136628,123,False
Clubiona pallidula,Clubiona pallidula,Animalia,2143922,80,False
Robertus lividus,Robertus lividus,Animalia,2155895,677,False
Metellina segmentata,Metellina segmentata,Animalia,2151597,266,False
Philodromus dispar,Philodromus dispar,Animalia,5169527,36,False
Inermocoelotes inermis,Inermocoelotes inermis,Animalia,7537556,229,False
Coelotes terrestris,Coelotes terrestris,Animalia,2141379,603,False
Macrargus rufus,Macrargus rufus,Animalia,2138039,609,False
Junco hyemalis,Junco hyemalis,Animalia,9362842,49,True
Agrotis segetum,Agrotis segetum,Animalia,1771040,7,False
Noctua pronuba,Noctua pronuba,Animalia,1789695,31,False
Corvus cornix,Corvus cornix,Animalia,2482515,300,False
Hieraaetus pennatus,Hieraaetus pennatus,Animalia,2480685,105,False
Accipiter gentilis,Accipiter gentilis,Animalia,2480589,7351,False
Buteo buteo,Buteo buteo,Animalia,2480537,15997,False
Archaeopsylla erinacei,Archaeopsylla erinacei,Animalia,1419537,7,False
Parabuteo unicinctus,Parabuteo unicinctus,Animalia,2480410,76,True
Neovison vison,Neovison vison,Animalia,2433652,34,False
Oryctolagus cuniculus,Oryctolagus cuniculus,Animalia,2436940,7643,True
Convolvulus arvensis,Convolvulus arvensis,Plantae,2928390,4024,False
Erodium cicutarium,Erodium cicutarium,Plantae,9485490,3713,False
Erigeron canadensis,Erigeron canadensis,Plantae,3146791,6797,True
Trifolium pratense,Trifolium pratense,Plantae,8324121,8061,False
Lotus corniculatus,Lotus corniculatus,Plantae,5357013,4864,False
Raphanus raphanistrum,Raphanus raphanistrum,Plantae,3040983,1817,False
Torilis arvensis,Torilis arvensis,Plantae,3034823,32,False
Eschscholzia californica,Eschscholzia californica,Plantae,2888380,266,True
Lobularia maritima,Lobularia maritima,Plantae,5373358,418,True
Achillea millefolium,Achillea millefolium,Plantae,3120060,9248,False
Carduus pycnocephalus,Carduus pycnocephalus,Plantae,3114667,7,True
Malva parviflora,Malva parviflora,Plantae,3152378,47,True
Sambucus nigra,Sambucus nigra,Plantae,2888728,8457,False
Coriandrum sativum,Coriandrum sativum,Plantae,3034871,67,True
Pholidoptera griseoaptera,Pholidoptera griseoaptera,Animalia,1695297,4620,False
Viscum album,Viscum album,Plantae,2889828,2006,False
Platanus hybrida,Platanus hybrida,Plantae,3152814,390,False
Xenos vesparum,Xenos vesparum,Animalia,4480641,170,False
Reduvius personatus,Reduvius personatus,Animalia,2008516,247,False
Bombus vestalis,Bombus vestalis,Animalia,1340418,437,False
Andrena trimmerana,Andrena trimmerana,Animalia,1357930,7,False
Myzus (Myzus) cerasi,Myzus (Myzus) cerasi,Animalia,10639820,80,False
Meripilus giganteus,Meripilus giganteus,Fungi,2540761,10,False
Xyleborus dispar,Xyleborus dispar,Animalia,5020442,16,False
Laetiporus sulphureus,Laetiporus sulphureus,Fungi,9072021,18,False
Caliroa cerasi,Caliroa cerasi,Animalia,1249682,77,False
Aporia crataegi,Aporia crataegi,Animalia,1920218,77,False
Passer montanus,Passer montanus,Animalia,5231198,9849,False
Poecile montanus,Poecile montanus,Animalia,2487866,7104,False
Dendrocopos medius,Dendrocopos medius,Animalia,2478026,39,False
Columba oenas,Columba oenas,Animalia,2495471,12396,False
Oenopia conglobata,Oenopia conglobata,Animalia,5877911,384,False
Calvia quatuordecimguttata,Calvia quatuordecimguttata,Animalia,1043171,1152,False
Chilocorus renipustulatus,Chilocorus renipustulatus,Animalia,4452277,333,False
Myzus cerasi,Myzus cerasi,Animalia,10639820,80,False
Trametes versicolor,Trametes versicolor,Fungi,2548311,8,False
Nymphalis polychloros,Nymphalis polychloros,Animalia,7762841,570,False
Cydia pomonella,Cydia pomonella,Animalia,1737847,8,False
Callosciurus erythraeus,Callosciurus erythraeus,Animalia,2437394,9,True
Prunus avium,Prunus avium,Plantae,3020791,4391,False
Nomada marshamella,Nomada marshamella,Animalia,1343878,197,False
Psittacula krameri,Psittacula krameri,Animalia,2479226,2812,True
Phorodon (Phorodon) humuli,Phorodon (Phorodon) humuli,Animalia,2074609,8,False
Rhopalosiphum nymphaeae,Rhopalosiphum nymphaeae,Animalia,9565622,6,False
Nymphalis antiopa,Nymphalis antiopa,Animalia,5130682,154,False
Fringilla montifringilla,Fringilla montifringilla,Animalia,2494441,10733,False
Troglodytes troglodytes,Troglodytes troglodytes,Animalia,5231438,14871,False
Regulus ignicapilla,Regulus ignicapilla,Animalia,6093527,6556,False
Rhopalosiphum padi,Rhopalosiphum padi,Animalia,2069580,30,False
Loricula elegantula,Loricula elegantula,Animalia,5759035,10,False
Osmia cornuta,Osmia cornuta,Animalia,5039293,4962,False
Fomes fomentarius,Fomes fomentarius,Fungi,8068867,26,False
Opisthograptis luteolata,Opisthograptis luteolata,Animalia,1960617,10,False
Catocala nupta,Catocala nupta,Animalia,1797258,10,False
Phalera bucephala,Phalera bucephala,Animalia,5119245,9,False
Prunus domestica,Prunus domestica,Plantae,7931731,290,False
Pogonocherus hispidulus,Pogonocherus hispidulus,Animalia,8423878,21,False
Macrosiphum (Macrosiphum) rosae,Macrosiphum (Macrosiphum) rosae,Animalia,2077659,71,False
Neurotoma saltuum,Neurotoma saltuum,Animalia,4492282,44,False
Pyrus communis,Pyrus communis,Plantae,5362573,259,False
Pentatoma rufipes,Pentatoma rufipes,Animalia,5758737,2332,False
Myodes glareolus,Myodes glareolus,Animalia,5706764,10,False
Xanthoria parietina,Xanthoria parietina,Fungi,2609969,26,False
Dendrocoptes medius,Dendrocoptes medius,Animalia,8773033,3443,False
Andricus fecundatrix,Andricus fecundatrix,Animalia,1309609,9,False
Andricus lignicola,Andricus lignicola,Animalia,4497054,237,False
Andricus kollari,Andricus kollari,Animalia,1309600,1102,False
Andricus solitarius,Andricus solitarius,Animalia,1309592,137,False
Cynips quercusfolii,Cynips quercusfolii,Animalia,4496895,969,False
Biorhiza pallida,Biorhiza pallida,Animalia,1309640,825,False
Neuroterus numismalis,Neuroterus numismalis,Animalia,1309691,926,False
