id,source,target,interaction,citation,doi,reference,referenceDOI,referenceURL
"Vespa velutinaFatsia japonica","Vespa velutina","Fatsia japonica","eats","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Jhen Liu. 2018. Vespa velutina 互動關係->正在吃什麼生物 Fatsia japonica. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/18838985> on 17 Nov 2021.","None","None"
"Vespa velutinaFicus carica","Vespa velutina","Ficus carica","eats","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Vespa-Watch. 2020. Vespa velutina eating Ficus carica. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/56645246> on 17 Nov 2021.","None","None"
"Vespa velutinaFoeniculum vulgare","Vespa velutina","Foeniculum vulgare","visitsFlowersOf","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Gabriel Tojo Suárez. 2020. Vespa velutina on Foeniculum vulgare. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/54295479> on 17 Nov 2021.","None","None"
"Vespa velutinaHedera helix","Vespa velutina","Hedera helix","visitsFlowersOf","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","null. 2021. Vespa velutina associated species with names lookup Hedera helix. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/95188149> on 17 Nov 2021.","None","None"
"Vespa velutinaHeracleum sphondylium","Vespa velutina","Heracleum sphondylium","visits","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","VitordaSilva. 2021. Vespa velutina name of associated plant Heracleum sphondylium. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/90545002> on 17 Nov 2021.","None","None"
"Vespa velutinaHimacerus apterus","Vespa velutina","Himacerus apterus","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"Vespa velutinaLacanobia oleracea","Vespa velutina","Lacanobia oleracea","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"Vespa velutinaLarinioides sclopetarius","Vespa velutina","Larinioides sclopetarius","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"Vespa velutinaMantis religiosa","Vespa velutina","Mantis religiosa","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"Vespa velutinaMeconema meridionale","Vespa velutina","Meconema meridionale","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"Vespa velutinaMesembrina meridiana","Vespa velutina","Mesembrina meridiana","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"Vespa velutinaMetellina mengei","Vespa velutina","Metellina mengei","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"Vespa velutinaMetellina segmentata","Vespa velutina","Metellina segmentata","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"Vespa velutinaNoctua pronuba","Vespa velutina","Noctua pronuba","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"Vespa velutinaOenothera lindheimeri","Vespa velutina","Oenothera lindheimeri","visitsFlowersOf","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Tim Hirsch. 2021. Vespa velutina interaction->visited flower of Oenothera lindheimeri. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/93680610> on 17 Nov 2021.","None","None"
"Vespa velutinaOrgyia antiqua","Vespa velutina","Orgyia antiqua","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"Vespa velutinaOryctolagus cuniculus","Vespa velutina","Oryctolagus cuniculus","eats","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Nico Hernandez. 2020. Vespa velutina interaction->scavenged carcass of Oryctolagus cuniculus. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/64871300> on 17 Nov 2021.","None","None"
"Vespa velutinaPanorpa cognata","Vespa velutina","Panorpa cognata","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"Vespa velutinaPanorpa communis","Vespa velutina","Panorpa communis","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"Vespa velutinaPanorpa germanica","Vespa velutina","Panorpa germanica","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"Vespa velutinaPararge aegeria","Vespa velutina","Pararge aegeria","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"Vespa velutinaPholidoptera griseoaptera","Vespa velutina","Pholidoptera griseoaptera","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"Vespa velutinaPlatanus hybrida","Vespa velutina","Platanus hybrida","createsHabitatFor","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Leza M, Miranda MA, Colomar V. 2018. First detection of Vespa velutina nigrithorax (Hymenoptera: Vespidae) in the Balearic Islands (Western Mediterranean): a challenging study case. Biological Invasions 20: 1643-1649. doi:10.1007/s10530-017-1658-z","10.1007/s10530-017-1658-z","None"
"Vespa velutinaPolistes dominula","Vespa velutina","Polistes dominula","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Cini A, Cappa F, Petrocelli I, Pepiciello I, Bortolotti L, Cervo R. 2018. Competition between the native and the introduced hornets Vespa crabro and Vespa velutina: a comparison of potentially relevant life-history traits. Ecological Entomology 43: 351-362. doi:10.1111/een.12507","10.1111/een.12507","None"
"Vespa velutinaPolyommatus icarus","Vespa velutina","Polyommatus icarus","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"Vespa velutinaPrunus avium","Vespa velutina","Prunus avium","eats","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Vespa-Watch. 2021. Vespa velutina feeding on Prunus avium. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/86126528> on 17 Nov 2021.","None","None"
"Vespa velutinaPrunus domestica","Vespa velutina","Prunus domestica","eats","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","association_raven. 2020. Vespa velutina feeding on Prunus domestica. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/56607698> on 17 Nov 2021.","None","None"
"Vespa velutinaPseudomallada prasinus","Vespa velutina","Pseudomallada prasinus","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"Vespa velutinaPyrus communis","Vespa velutina","Pyrus communis","eats","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Vespa-Watch. 2020. Vespa velutina eating Pyrus communis. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/56853896> on 17 Nov 2021.","None","None"
"Vespa velutinaQuercus robur","Vespa velutina","Quercus robur","createsHabitatFor","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Leza M, Miranda MA, Colomar V. 2018. First detection of Vespa velutina nigrithorax (Hymenoptera: Vespidae) in the Balearic Islands (Western Mediterranean): a challenging study case. Biological Invasions 20: 1643-1649. doi:10.1007/s10530-017-1658-z","10.1007/s10530-017-1658-z","None"
"Vespa velutinaReynoutria japonica","Vespa velutina","Reynoutria japonica","visitsFlowersOf","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Frédéric. 2021. Vespa velutina interaction->visited flower of Reynoutria japonica. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/94446889> on 17 Nov 2021.","None","None"
"Vespa velutinaRobinia pseudoacacia","Vespa velutina","Robinia pseudoacacia","createsHabitatFor","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Leza M, Miranda MA, Colomar V. 2018. First detection of Vespa velutina nigrithorax (Hymenoptera: Vespidae) in the Balearic Islands (Western Mediterranean): a challenging study case. Biological Invasions 20: 1643-1649. doi:10.1007/s10530-017-1658-z","10.1007/s10530-017-1658-z","None"
"Vespa velutinaScathophaga stercoraria","Vespa velutina","Scathophaga stercoraria","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"Vespa velutinaSphaerophoria scripta","Vespa velutina","Sphaerophoria scripta","preysOn","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"Vespa velutinaSyritta pipiens","Vespa velutina","Syritta pipiens","preysOn","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"Vespa velutinaVanessa atalanta","Vespa velutina","Vanessa atalanta","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"Vespa velutinaVespula germanica","Vespa velutina","Vespula germanica","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"Vespa velutinaVespula vulgaris","Vespa velutina","Vespula vulgaris","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
