"","id","source","target","interaction","citation","doi","reference","referenceDOI","referenceURL"
"11","Vespa velutinaApatura ilia","Vespa velutina","Apatura ilia","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"12","Vespa velutinaAphrophora salicina","Vespa velutina","Aphrophora salicina","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"13","Vespa velutinaApis mellifera","Vespa velutina","Apis mellifera","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"14","Vespa velutinaAraneus diadematus","Vespa velutina","Araneus diadematus","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"15","Vespa velutinaAutographa gamma","Vespa velutina","Autographa gamma","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"16","Vespa velutinaBombus lapidarius","Vespa velutina","Bombus lapidarius","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"17","Vespa velutinaCampsis radicans","Vespa velutina","Campsis radicans","visitsFlowersOf","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Hamish Low. 2021. Vespa velutina interaction->visited flower of Campsis radicans. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/92830812> on 17 Nov 2021.","None","None"
"18","Vespa velutinaCervus elaphus","Vespa velutina","Cervus elaphus","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"19","Vespa velutinaChaetopteryx villosa","Vespa velutina","Chaetopteryx villosa","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"20","Vespa velutinaCoenonympha pamphilus","Vespa velutina","Coenonympha pamphilus","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"21","Vespa velutinaDicranopalpus ramosus","Vespa velutina","Dicranopalpus ramosus","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"22","Vespa velutinaEmberiza cirlus","Vespa velutina","Emberiza cirlus","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"23","Vespa velutinaEpisyrphus balteatus","Vespa velutina","Episyrphus balteatus","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"24","Vespa velutinaEriobotrya japonica","Vespa velutina","Eriobotrya japonica","visitsFlowersOf","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","null. 2020. Vespa velutina interaction->visited flower of Eriobotrya japonica. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/64432313> on 17 Nov 2021.","None","None"
"25","Vespa velutinaEristalis tenax","Vespa velutina","Eristalis tenax","preysOn","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"26","Vespa velutinaEuonymus japonicus","Vespa velutina","Euonymus japonicus","visitsFlowersOf","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","null. 2021. Vespa velutina interaction->visited flower of Euonymus japonicus. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/85452872> on 17 Nov 2021.","None","None"
"27","Vespa velutinaEuphorbia characias","Vespa velutina","Euphorbia characias","visitsFlowersOf","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","afranco. 2020. Vespa velutina interaction->visited flower of Euphorbia characias. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/38748007> on 17 Nov 2021.","None","None"
"28","Vespa velutinaFatsia japonica","Vespa velutina","Fatsia japonica","eats","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Jhen Liu. 2018. Vespa velutina <U+4E92><U+52D5><U+95DC><U+4FC2>-><U+6B63><U+5728><U+5403><U+4EC0><U+9EBC><U+751F><U+7269> Fatsia japonica. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/18838985> on 17 Nov 2021.","None","None"
"29","Vespa velutinaFicus carica","Vespa velutina","Ficus carica","eats","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Vespa-Watch. 2020. Vespa velutina eating Ficus carica. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/56645246> on 17 Nov 2021.","None","None"
"30","Vespa velutinaFoeniculum vulgare","Vespa velutina","Foeniculum vulgare","visitsFlowersOf","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Gabriel Tojo Suárez. 2020. Vespa velutina on Foeniculum vulgare. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/54295479> on 17 Nov 2021.","None","None"
"31","Vespa velutinaHedera helix","Vespa velutina","Hedera helix","visitsFlowersOf","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","null. 2021. Vespa velutina associated species with names lookup Hedera helix. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/95188149> on 17 Nov 2021.","None","None"
"32","Vespa velutinaHeracleum sphondylium","Vespa velutina","Heracleum sphondylium","visits","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","VitordaSilva. 2021. Vespa velutina name of associated plant Heracleum sphondylium. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/90545002> on 17 Nov 2021.","None","None"
"33","Vespa velutinaHimacerus apterus","Vespa velutina","Himacerus apterus","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"34","Vespa velutinaLacanobia oleracea","Vespa velutina","Lacanobia oleracea","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"35","Vespa velutinaLarinioides sclopetarius","Vespa velutina","Larinioides sclopetarius","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"36","Vespa velutinaMantis religiosa","Vespa velutina","Mantis religiosa","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"37","Vespa velutinaMeconema meridionale","Vespa velutina","Meconema meridionale","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"38","Vespa velutinaMesembrina meridiana","Vespa velutina","Mesembrina meridiana","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"39","Vespa velutinaMetellina mengei","Vespa velutina","Metellina mengei","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"40","Vespa velutinaMetellina segmentata","Vespa velutina","Metellina segmentata","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"41","Vespa velutinaNoctua pronuba","Vespa velutina","Noctua pronuba","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"42","Vespa velutinaOenothera lindheimeri","Vespa velutina","Oenothera lindheimeri","visitsFlowersOf","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Tim Hirsch. 2021. Vespa velutina interaction->visited flower of Oenothera lindheimeri. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/93680610> on 17 Nov 2021.","None","None"
"43","Vespa velutinaOrgyia antiqua","Vespa velutina","Orgyia antiqua","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"44","Vespa velutinaOryctolagus cuniculus","Vespa velutina","Oryctolagus cuniculus","eats","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Nico Hernandez. 2020. Vespa velutina interaction->scavenged carcass of Oryctolagus cuniculus. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/64871300> on 17 Nov 2021.","None","None"
"45","Vespa velutinaPanorpa cognata","Vespa velutina","Panorpa cognata","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"46","Vespa velutinaPanorpa communis","Vespa velutina","Panorpa communis","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"47","Vespa velutinaPanorpa germanica","Vespa velutina","Panorpa germanica","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"48","Vespa velutinaPararge aegeria","Vespa velutina","Pararge aegeria","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"49","Vespa velutinaPholidoptera griseoaptera","Vespa velutina","Pholidoptera griseoaptera","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"50","Vespa velutinaPlatanus hybrida","Vespa velutina","Platanus hybrida","createsHabitatFor","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Leza M, Miranda MA, Colomar V. 2018. First detection of Vespa velutina nigrithorax (Hymenoptera: Vespidae) in the Balearic Islands (Western Mediterranean): a challenging study case. Biological Invasions 20: 1643-1649. doi:10.1007/s10530-017-1658-z","10.1007/s10530-017-1658-z","None"
"51","Vespa velutinaPolistes dominula","Vespa velutina","Polistes dominula","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Cini A, Cappa F, Petrocelli I, Pepiciello I, Bortolotti L, Cervo R. 2018. Competition between the native and the introduced hornets Vespa crabro and Vespa velutina: a comparison of potentially relevant life-history traits. Ecological Entomology 43: 351-362. doi:10.1111/een.12507","10.1111/een.12507","None"
"52","Vespa velutinaPolyommatus icarus","Vespa velutina","Polyommatus icarus","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"53","Vespa velutinaPrunus avium","Vespa velutina","Prunus avium","eats","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Vespa-Watch. 2021. Vespa velutina feeding on Prunus avium. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/86126528> on 17 Nov 2021.","None","None"
"54","Vespa velutinaPrunus domestica","Vespa velutina","Prunus domestica","eats","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","association_raven. 2020. Vespa velutina feeding on Prunus domestica. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/56607698> on 17 Nov 2021.","None","None"
"55","Vespa velutinaPseudomallada prasinus","Vespa velutina","Pseudomallada prasinus","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"56","Vespa velutinaPyrus communis","Vespa velutina","Pyrus communis","eats","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Vespa-Watch. 2020. Vespa velutina eating Pyrus communis. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/56853896> on 17 Nov 2021.","None","None"
"57","Vespa velutinaQuercus robur","Vespa velutina","Quercus robur","createsHabitatFor","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Leza M, Miranda MA, Colomar V. 2018. First detection of Vespa velutina nigrithorax (Hymenoptera: Vespidae) in the Balearic Islands (Western Mediterranean): a challenging study case. Biological Invasions 20: 1643-1649. doi:10.1007/s10530-017-1658-z","10.1007/s10530-017-1658-z","None"
"58","Vespa velutinaReynoutria japonica","Vespa velutina","Reynoutria japonica","visitsFlowersOf","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Frédéric. 2021. Vespa velutina interaction->visited flower of Reynoutria japonica. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/94446889> on 17 Nov 2021.","None","None"
"59","Vespa velutinaRobinia pseudoacacia","Vespa velutina","Robinia pseudoacacia","createsHabitatFor","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Leza M, Miranda MA, Colomar V. 2018. First detection of Vespa velutina nigrithorax (Hymenoptera: Vespidae) in the Balearic Islands (Western Mediterranean): a challenging study case. Biological Invasions 20: 1643-1649. doi:10.1007/s10530-017-1658-z","10.1007/s10530-017-1658-z","None"
"60","Vespa velutinaScathophaga stercoraria","Vespa velutina","Scathophaga stercoraria","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"61","Vespa velutinaSphaerophoria scripta","Vespa velutina","Sphaerophoria scripta","preysOn","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"62","Vespa velutinaSyritta pipiens","Vespa velutina","Syritta pipiens","preysOn","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"63","Vespa velutinaVanessa atalanta","Vespa velutina","Vanessa atalanta","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"64","Vespa velutinaVespula germanica","Vespa velutina","Vespula germanica","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
