"target_taxon","source_taxon_name","interaction_type","db","query","genus","family","order","class","phylum","kingdom"
"Vespa velutina","Carabidae","eatenBy","ncbi","Carabidae",NA,"Carabidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Tephritidae","eatenBy","ncbi","Tephritidae",NA,"Tephritidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Tachinidae","eatenBy","ncbi","Tachinidae",NA,"Tachinidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vespidae","eatenBy","ncbi","Vespidae",NA,"Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Calliphora vicina","eatenBy","ncbi","Calliphora vicina","Calliphora","Calliphoridae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Ceratitis","eatenBy","ncbi","Ceratitis","Ceratitis","Tephritidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Muscina","eatenBy","ncbi","Muscina","Muscina","Muscidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Dasytes","eatenBy","ncbi","Dasytes","Dasytes","Melyridae","Coleoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Lucilia","eatenBy","ncbi","Lucilia","Lucilia","Calliphoridae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Helina","eatenBy","ncbi","Helina","Helina","Muscidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Hoplitis robusta","eatenBy","ncbi","Hoplitis robusta","Hoplitis","Megachilidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Peleteria","eatenBy","ncbi","Peleteria","Peleteria","Tachinidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Montisimulium","eatenBy","ncbi","Montisimulium","Simulium","Simuliidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vespa velutina","eats","ncbi","Vespa velutina","Vespa","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Trichoptera","eatenBy","ncbi","Trichoptera",NA,NA,"Trichoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Coenosia","eatenBy","ncbi","Coenosia","Coenosia","Muscidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Lepidoptera","eatenBy","ncbi","Lepidoptera",NA,NA,"Lepidoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Hybomitra","eatenBy","ncbi","Hybomitra","Hybomitra","Tabanidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Drosophila","eatenBy","ncbi","Drosophila","Drosophila","Drosophilidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Mythimna unipuncta","eatenBy","ncbi","Mythimna unipuncta","Mythimna","Noctuidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Calliphoridae","eatenBy","ncbi","Calliphoridae",NA,"Calliphoridae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Peltigera","eatenBy","ncbi","Peltigera","Peltigera","Peltigeraceae","Peltigerales","Lecanoromycetes","Ascomycota","Fungi"
"Vespa velutina","Tachypeza","eatenBy","ncbi","Tachypeza","Tachypeza","Hybotidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Lucilia cuprina","eatenBy","ncbi","Lucilia cuprina","Lucilia","Calliphoridae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Calliphora","eatenBy","ncbi","Calliphora","Calliphora","Calliphoridae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Polistes dominula","eatenBy","ncbi","Polistes dominula","Polistes","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Culicidae","eatenBy","ncbi","Culicidae",NA,"Culicidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Noctua","eatenBy","ncbi","Noctua","Noctua","Noctuidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Triaenodes","eatenBy","ncbi","Triaenodes","Triaenodes","Leptoceridae","Trichoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Neomyia","eatenBy","ncbi","Neomyia","Neomyia","Muscidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Muscina pascuorum","eatenBy","ncbi","Muscina pascuorum","Muscina","Muscidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apallates coxendix","eatenBy","ncbi","Apallates coxendix","Apallates","Chloropidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Syrphidae","eatenBy","ncbi","Syrphidae",NA,"Syrphidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Hypena","eatenBy","ncbi","Hypena","Hypena","Erebidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Pimpla","eatenBy","ncbi","Pimpla","Pimpla","Ichneumonidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Noctuidae","eatenBy","ncbi","Noctuidae",NA,"Noctuidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Muscina levida","eatenBy","ncbi","Muscina levida","Muscina","Muscidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vespula","eatenBy","ncbi","Vespula","Vespula","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Chironomidae","eatenBy","ncbi","Chironomidae",NA,"Chironomidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Hylemya","eatenBy","ncbi","Hylemya","Hylemya","Anthomyiidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Cecidomyiidae","eatenBy","ncbi","Cecidomyiidae",NA,"Cecidomyiidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Coelioxys zapoteca","eatenBy","ncbi","Coelioxys zapoteca","Coelioxys","Megachilidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apidae","eatenBy","ncbi","Apidae",NA,"Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Anthomyiidae","eatenBy","ncbi","Anthomyiidae",NA,"Anthomyiidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Graphomya","eatenBy","ncbi","Graphomya","Graphomya","Muscidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Sphaerophoria","eatenBy","ncbi","Sphaerophoria","Sphaerophoria","Syrphidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Muscidae","eatenBy","ncbi","Muscidae",NA,"Muscidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Trombidiformes","eatenBy","ncbi","Trombidiformes",NA,NA,"Trombidiformes","Arachnida","Arthropoda","Metazoa"
"Vespa velutina","Rhamphomyia","eatenBy","ncbi","Rhamphomyia","Rhamphomyia","Empididae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Hymenoptera","eatenBy","ncbi","Hymenoptera",NA,NA,"Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Tenthredinidae","eatenBy","ncbi","Tenthredinidae",NA,"Tenthredinidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vespa velutina","eatenBy","ncbi","Vespa velutina","Vespa","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Diptera","eatenBy","ncbi","Diptera",NA,NA,"Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Delia platura","eatenBy","ncbi","Delia platura","Delia","Anthomyiidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Psocoptera","eatenBy","ncbi","Psocoptera",NA,NA,"Psocoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Acrididae","eatenBy","ncbi","Acrididae",NA,"Acrididae","Orthoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Sarcophagidae","eatenBy","ncbi","Sarcophagidae",NA,"Sarcophagidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Coenosia pumila","eatenBy","ncbi","Coenosia pumila","Coenosia","Muscidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vespa","eatenBy","ncbi","Vespa","Vespa","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Musca","eatenBy","ncbi","Musca","Musca","Muscidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Dasyhelea","eatenBy","ncbi","Dasyhelea","Dasyhelea","Ceratopogonidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Sarcophaga","eatenBy","ncbi","Sarcophaga","Sarcophaga","Sarcophagidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis cerana","preyedUponBy","ncbi","Apis cerana","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","preyedUponBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Diptera","eatenBy","ncbi","Diptera",NA,NA,"Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Eristalis pertinax","eatenBy","ncbi","Eristalis pertinax","Eristalis","Syrphidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Pollenia rudis","eatenBy","ncbi","Pollenia rudis","Pollenia","Polleniidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Lucilia","eatenBy","ncbi","Lucilia","Lucilia","Calliphoridae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vespula germanica","eatenBy","ncbi","Vespula germanica","Vespula","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vespula vulgaris","eatenBy","ncbi","Vespula vulgaris","Vespula","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vespula vulgaris","eatenBy","ncbi","Vespula vulgaris","Vespula","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Lacanobia oleracea","eatenBy","ncbi","Lacanobia oleracea","Lacanobia","Noctuidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Macquartia tenebricosa","eatenBy","ncbi","Macquartia tenebricosa","Macquartia","Tachinidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Araneidae","eatenBy","ncbi","Araneidae",NA,"Araneidae","Araneae","Arachnida","Arthropoda","Metazoa"
"Vespa velutina","Scathophaga furcata","eatenBy","ncbi","Scathophaga furcata","Scathophaga","Scathophagidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vespula vulgaris","eatenBy","ncbi","Vespula vulgaris","Vespula","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Dasyphora albofasciata","eatenBy","ncbi","Dasyphora albofasciata","Dasyphora","Muscidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Polietes lardarius","eatenBy","ncbi","Polietes lardarius","Polietes","Muscidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Diptera","eatenBy","ncbi","Diptera",NA,NA,"Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Chalcosyrphus nemorum","preyedUponBy","ncbi","Chalcosyrphus nemorum","Chalcosyrphus","Syrphidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Ophyra capensis","preyedUponBy","ncbi","Ophyra capensis","Hydrotaea","Muscidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Tachinidae","eatenBy","ncbi","Tachinidae",NA,"Tachinidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Lucilia ampullacea","preyedUponBy","ncbi","Lucilia ampullacea","Lucilia","Calliphoridae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Pollenia amentaria","eatenBy","ncbi","Pollenia amentaria","Pollenia","Polleniidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vespula vulgaris","eatenBy","ncbi","Vespula vulgaris","Vespula","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Eristalis","eatenBy","ncbi","Eristalis","Eristalis","Syrphidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Diptera","eatenBy","ncbi","Diptera",NA,NA,"Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Araneus diadematus","eatenBy","ncbi","Araneus diadematus","Araneus","Araneidae","Araneae","Arachnida","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vespula germanica","eatenBy","ncbi","Vespula germanica","Vespula","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Polietes lardarius","eatenBy","ncbi","Polietes lardarius","Polietes","Muscidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Sarcophaga carnaria","eatenBy","ncbi","Sarcophaga carnaria","Sarcophaga","Sarcophagidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Eristalis tenax","eatenBy","ncbi","Eristalis tenax","Eristalis","Syrphidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Calliphora vicina","eatenBy","ncbi","Calliphora vicina","Calliphora","Calliphoridae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Polietes lardarius","eatenBy","ncbi","Polietes lardarius","Polietes","Muscidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Panorpa","eatenBy","ncbi","Panorpa","Panorpa","Panorpidae","Mecoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vespula vulgaris","eatenBy","ncbi","Vespula vulgaris","Vespula","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vespula","eatenBy","ncbi","Vespula","Vespula","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vespula","eatenBy","ncbi","Vespula","Vespula","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vertebrata","eatenBy","ncbi","Vertebrata",NA,NA,NA,NA,"Chordata","Metazoa"
"Vespa velutina","Sarcophaga variegata","eatenBy","ncbi","Sarcophaga variegata","Sarcophaga","Sarcophagidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Cylindromyia bicolor","eatenBy","ncbi","Cylindromyia bicolor","Cylindromyia","Tachinidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vertebrata","eatenBy","ncbi","Vertebrata",NA,NA,NA,NA,"Chordata","Metazoa"
"Vespa velutina","Vertebrata","eatenBy","ncbi","Vertebrata",NA,NA,NA,NA,"Chordata","Metazoa"
"Vespa velutina","Diptera","eatenBy","ncbi","Diptera",NA,NA,"Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Araneidae","eatenBy","ncbi","Araneidae",NA,"Araneidae","Araneae","Arachnida","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Lucilia caesar","eatenBy","ncbi","Lucilia caesar","Lucilia","Calliphoridae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Tipula paludosa","eatenBy","ncbi","Tipula paludosa","Tipula","Tipulidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Calliphora vicina","eatenBy","ncbi","Calliphora vicina","Calliphora","Calliphoridae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Lepidoptera","eatenBy","ncbi","Lepidoptera",NA,NA,"Lepidoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vespula vulgaris","eatenBy","ncbi","Vespula vulgaris","Vespula","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Sarcophaga variegata","eatenBy","ncbi","Sarcophaga variegata","Sarcophaga","Sarcophagidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Sarcophaga corsicana","preyedUponBy","ncbi","Sarcophaga corsicana","Sarcophaga","Sarcophagidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vespula","eatenBy","ncbi","Vespula","Vespula","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Araneidae","eatenBy","ncbi","Araneidae",NA,"Araneidae","Araneae","Arachnida","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vespula","eatenBy","ncbi","Vespula","Vespula","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vespula vulgaris","eatenBy","ncbi","Vespula vulgaris","Vespula","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Eristalis pertinax","eatenBy","ncbi","Eristalis pertinax","Eristalis","Syrphidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vespula vulgaris","eatenBy","ncbi","Vespula vulgaris","Vespula","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vespula vulgaris","eatenBy","ncbi","Vespula vulgaris","Vespula","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Scathophaga stercoraria","eatenBy","ncbi","Scathophaga stercoraria","Scathophaga","Scathophagidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vespula vulgaris","eatenBy","ncbi","Vespula vulgaris","Vespula","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Polietes lardarius","eatenBy","ncbi","Polietes lardarius","Polietes","Muscidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Polietes lardarius","eatenBy","ncbi","Polietes lardarius","Polietes","Muscidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vespula","eatenBy","ncbi","Vespula","Vespula","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Ectophasia crassipennis","eatenBy","ncbi","Ectophasia crassipennis","Ectophasia","Tachinidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Calliphora vicina","eatenBy","ncbi","Calliphora vicina","Calliphora","Calliphoridae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Diptera","eatenBy","ncbi","Diptera",NA,NA,"Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Sarcophaga variegata","eatenBy","ncbi","Sarcophaga variegata","Sarcophaga","Sarcophagidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Calliphoridae","eatenBy","ncbi","Calliphoridae",NA,"Calliphoridae","Diptera","Insecta","Arthropoda","Metazoa"
