"","scientificName2","speciesKey","scientificName","rank","taxonomicStatus","kingdom","includes","ALIEN"
"30","Aceria erinea",2128502,"Aceria erinea (Nalepa, 1891)","SPECIES","ACCEPTED","Animalia","2128502: Aceria erinea (Nalepa, 1891)",FALSE
"31","Acherontia atropos",1861510,"Acherontia atropos (Linnaeus, 1758)","SPECIES","ACCEPTED","Animalia","1861510: Acherontia atropos (Linnaeus, 1758)",FALSE
"32","Achillea clypeolata",8360031,"Achillea clypeolata Sibth. & Sm.","SPECIES","ACCEPTED","Plantae","8360031: Achillea clypeolata Sibth. & Sm.",FALSE
"33","Achillea coarctata",3120289,"Achillea coarctata Poir.","SPECIES","ACCEPTED","Plantae","3120068: Achillea compacta Willd. | 3120289: Achillea coarctata Poir.",FALSE
"34","Achillea collina",7925124,"Achillea collina (Wirtg.) Becker ex Rchb.","SPECIES","ACCEPTED","Plantae","7925124: Achillea collina (Wirtg.) Becker ex Rchb.",FALSE
"35","Achillea crithmifolia",8059665,"Achillea crithmifolia Waldst. & Kit.","SPECIES","ACCEPTED","Plantae","8059665: Achillea crithmifolia Waldst. & Kit.",FALSE
"36","Achillea distans",3120264,"Achillea distans Waldst. & Kit. ex Willd.","SPECIES","ACCEPTED","Plantae","3120264: Achillea distans Waldst. & Kit. ex Willd. | 4216575: Achillea distans subsp. tanacetifolia (All.) Janch. | 6077447: Achillea distans subsp. stricta (Schleich. ex Gremli) Janch.",FALSE
"37","Achillea leptophylla",7863079,"Achillea leptophylla M.Bieb.","SPECIES","ACCEPTED","Plantae","7863079: Achillea leptophylla M.Bieb.",FALSE
"38","Achillea lingulata",3120188,"Achillea lingulata Waldst. & Kit.","SPECIES","ACCEPTED","Plantae","3120188: Achillea lingulata Waldst. & Kit.",FALSE
"39","Achillea millefolium",3120060,"Achillea millefolium L.","SPECIES","ACCEPTED","Plantae","3120060: Achillea millefolium L.",FALSE
"40","Achillea nobilis",3120024,"Achillea nobilis L.","SPECIES","ACCEPTED","Plantae","3120024: Achillea nobilis L. | 4215312: Achillea nobilis subsp. neilreichii (A.Kern.) Velen.",FALSE
"41","Achillea ochroleuca",3120038,"Achillea ochroleuca Ehrh.","SPECIES","ACCEPTED","Plantae","3120038: Achillea ochroleuca Ehrh.",FALSE
"42","Achillea oxyloba",3120192,"Achillea oxyloba (DC.) Sch.Bip.","SPECIES","ACCEPTED","Plantae","3120192: Achillea oxyloba (DC.) Sch.Bip. | 4214718: Achillea schurii Sch.Bip. | 4215221: Achillea oxyloba subsp. schurii (Sch.Bip.) Heimerl",FALSE
"43","Achillea pannonica",3120129,"Achillea pannonica Scheele","SPECIES","ACCEPTED","Plantae","3120129: Achillea pannonica Scheele",FALSE
"44","Achillea ptarmica",3120333,"Achillea ptarmica L.","SPECIES","ACCEPTED","Plantae","3120333: Achillea ptarmica L.",FALSE
"45","Achillea setacea",3120066,"Achillea setacea Waldst. & Kit.","SPECIES","ACCEPTED","Plantae","3120066: Achillea setacea Waldst. & Kit.",FALSE
"46","Achillea tenuifolia",7546541,"Achillea tenuifolia Lam.","SPECIES","ACCEPTED","Plantae","4215545: Ptarmica tenuifolia (Schur) Schur | 4240009: Anthemis tenuifolia Schur",FALSE
"47","Achillea tomentosa",7787053,"Achillea tomentosa L.","SPECIES","ACCEPTED","Plantae","7787053: Achillea tomentosa L.",FALSE
"48","Achnatherum calamagrostis",4142326,"Achnatherum calamagrostis (L.) P.Beauv.","SPECIES","ACCEPTED","Plantae","4143701: Stipa calamagrostis (L.) Wahlenb.",FALSE
"49","Achromadora ruricola",2280554,"Achromadora ruricola (De Man, 1880) Micoletzky, 1924","SPECIES","ACCEPTED","Animalia","2280554: Achromadora ruricola (De Man, 1880) Micoletzky, 1924",FALSE
"50","Acicula parcelineata",5778125,"Acicula parcelineata (Clessin, 1911)","SPECIES","ACCEPTED","Animalia","5778125: Acicula parcelineata (Clessin, 1911)",FALSE
"51","Acilius sulcatus",4470286,"Acilius sulcatus (Linnaeus, 1758)","SPECIES","ACCEPTED","Animalia","4470286: Acilius sulcatus (Linnaeus, 1758)",FALSE
"52","Acinetobacter radioresistens",3223270,"Acinetobacter radioresistens Nishimura et al., 1988","SPECIES","ACCEPTED","Bacteria","3223270: Acinetobacter radioresistens Nishimura et al., 1988",FALSE
"53","Acipenser ruthenus",2402168,"Acipenser ruthenus Linnaeus, 1758","SPECIES","ACCEPTED","Animalia","2402168: Acipenser ruthenus Linnaeus, 1758",FALSE
"54","Acipenser stellatus",2402159,"Acipenser stellatus Pallas, 1771","SPECIES","ACCEPTED","Animalia","2402159: Acipenser stellatus Pallas, 1771",FALSE
"55","Acleris forsskaleana",1739922,"Acleris forsskaleana (Linnaeus, 1758)","SPECIES","ACCEPTED","Animalia","1739922: Acleris forsskaleana (Linnaeus, 1758)",FALSE
"56","Aclypea souverbii",4448479,"Aclypea souverbii (Fairmaire, 1848)","SPECIES","ACCEPTED","Animalia","4448479: Aclypea souverbii (Fairmaire, 1848)",FALSE
"57","Acmaeoderella flavofasciata",4431220,"Acmaeoderella flavofasciata (Piller & Mitterpacher, 1783)","SPECIES","ACCEPTED","Animalia","4431220: Acmaeoderella flavofasciata (Piller & Mitterpacher, 1783)",FALSE
"58","Acompsia cinerella",1852177,"Acompsia cinerella (Clerck, 1759)","SPECIES","ACCEPTED","Animalia","1852177: Acompsia cinerella (Clerck, 1759)",FALSE
"59","Acompsia tripunctella",1852190,"Acompsia tripunctella (Denis & Schiffermüller, 1775)","SPECIES","ACCEPTED","Animalia","1852190: Acompsia tripunctella (Denis & Schiffermüller, 1775)",FALSE
"60","Aconitum ×gayeri",8262073,"Aconitum ×gayeri Starmuhl","SPECIES","ACCEPTED","Plantae","8262073: Aconitum ×gayeri Starmuhl",FALSE
"61","Aconitum ×nanum",3922826,"Aconitum ×nanum (Baumg.) Simonk.","SPECIES","ACCEPTED","Plantae","3922826: Aconitum ×nanum (Baumg.) Simonk.",FALSE
"62","Aconitum anthora",3033670,"Aconitum anthora L.","SPECIES","ACCEPTED","Plantae","3033670: Aconitum anthora L.",FALSE
"63","Aconitum degenii",8295887,"Aconitum degenii Gáyer","SPECIES","ACCEPTED","Plantae","7276900: Aconitum degenii subsp. degenii",FALSE
"64","Aconitum firmum",7277348,"Aconitum firmum Rchb.","SPECIES","ACCEPTED","Plantae","3926782: Aconitum bucovinense Zapal.",FALSE
"65","Aconitum hosteanum",3924597,"Aconitum hosteanum Schur","SPECIES","ACCEPTED","Plantae","8062401: Aconitum moldavicum subsp. hosteanum (Schur) Graebn. & P.Graebn.",FALSE
"66","Aconitum lasiostomum",7997842,"Aconitum lasiostomum Rchb. ex Besser","SPECIES","ACCEPTED","Plantae","7997842: Aconitum lasiostomum Rchb. ex Besser",FALSE
"67","Aconitum lycoctonum",3033675,"Aconitum lycoctonum L.","SPECIES","ACCEPTED","Plantae","3033675: Aconitum lycoctonum L. | 3033682: Aconitum vulparia Rchb. | 3923706: Aconitum lasianthum (Rchb.) Simonk. | 7276954: Aconitum moldavicum Hacq. ex Rchb. | 7277098: Aconitum lamarckii Rchb. ex Spreng.",FALSE
"68","Aconitum napellus",3033665,"Aconitum napellus L.","SPECIES","ACCEPTED","Plantae","3033665: Aconitum napellus L. | 7501250: Aconitum firmum subsp. fissurae Nyár.",FALSE
"69","Aconitum nasutum",7276905,"Aconitum nasutum Rchb.","SPECIES","ACCEPTED","Plantae","3922667: Aconitum degenii subsp. paniculatum (Arcang.) W.Mucher | 7276809: Aconitum paniculatum Lam.",FALSE
"70","Aconitum tauricum",7278285,"Aconitum tauricum Wulfen","SPECIES","ACCEPTED","Plantae","7278285: Aconitum tauricum Wulfen",FALSE
"71","Aconitum toxicum",7846398,"Aconitum toxicum Rchb.","SPECIES","ACCEPTED","Plantae","7277060: Aconitum toxicum subsp. toxicum | 7846398: Aconitum toxicum Rchb.",FALSE
"72","Aconitum variegatum",8090449,"Aconitum variegatum L.","SPECIES","ACCEPTED","Plantae","8090449: Aconitum variegatum L.",FALSE
"73","Acontia lucida",1763072,"Acontia lucida (Hufnagel, 1766)","SPECIES","ACCEPTED","Animalia","1763072: Acontia lucida (Hufnagel, 1766)",FALSE
"74","Acontia trabealis",5772063,"Acontia trabealis (Scopoli, 1763)","SPECIES","ACCEPTED","Animalia","5772063: Acontia trabealis (Scopoli, 1763) | 5884163: Emmelia trabealis (Scopoli, 1763)",FALSE
"75","Acorus calamus",2873769,"Acorus calamus L.","SPECIES","ACCEPTED","Plantae","2873769: Acorus calamus L.",TRUE
"76","Acossus terebra",4525641,"Acossus terebra (Denis & Schiffermüller, 1775)","SPECIES","ACCEPTED","Animalia","4525641: Acossus terebra (Denis & Schiffermüller, 1775)",FALSE
"77","Acrida ungarica",1713668,"Acrida ungarica (Herbst, 1786)","SPECIES","ACCEPTED","Animalia","1713668: Acrida ungarica (Herbst, 1786)",FALSE
"78","Acrobasis advenella",4531147,"Acrobasis advenella (Zincken, 1818)","SPECIES","ACCEPTED","Animalia","4531147: Acrobasis advenella (Zincken, 1818)",FALSE
"79","Acrobeles ciliatus",2283765,"Acrobeles ciliatus von Linstow, 1877","SPECIES","ACCEPTED","Animalia","2283765: Acrobeles ciliatus von Linstow, 1877",FALSE
"80","Acrobeles complexus",2283763,"Acrobeles complexus Thorne, 1925","SPECIES","ACCEPTED","Animalia","2283763: Acrobeles complexus Thorne, 1925",FALSE
"81","Acrobeloides buetschlii",2283760,"Acrobeloides buetschlii (de Man, 1884) Steiner & Buhrer, 1933","SPECIES","ACCEPTED","Animalia","2283760: Acrobeloides buetschlii (de Man, 1884) Steiner & Buhrer, 1933",FALSE
"82","Acrobeloides nanus",2283755,"Acrobeloides nanus (de Man, 1880) Anderson, 1968","SPECIES","ACCEPTED","Animalia","2283755: Acrobeloides nanus (de Man, 1880) Anderson, 1968",FALSE
"83","Acrobeloides tricornis",2283757,"Acrobeloides tricornis (Thorne, 1925) Thorne, 1937","SPECIES","ACCEPTED","Animalia","2283757: Acrobeloides tricornis (Thorne, 1925) Thorne, 1937",FALSE
"84","Acrocephalus agricola",2493137,"Acrocephalus agricola (Jerdon, 1845)","SPECIES","ACCEPTED","Animalia","2493137: Acrocephalus agricola (Jerdon, 1845)",FALSE
"85","Acrocephalus arundinaceus",2493128,"Acrocephalus arundinaceus (Linnaeus, 1758)","SPECIES","ACCEPTED","Animalia","2493128: Acrocephalus arundinaceus (Linnaeus, 1758) | 7341247: Acrocephalus arundinaceus arundinaceus",FALSE
"86","Acrocephalus dumetorum",2493145,"Acrocephalus dumetorum Blyth, 1849","SPECIES","ACCEPTED","Animalia","2493145: Acrocephalus dumetorum Blyth, 1849",FALSE
"87","Acrocephalus melanopogon",2493124,"Acrocephalus melanopogon (Temminck, 1823)","SPECIES","ACCEPTED","Animalia","2493124: Acrocephalus melanopogon (Temminck, 1823) | 7341288: Acrocephalus melanopogon melanopogon",FALSE
"88","Acrocephalus palustris",2493136,"Acrocephalus palustris (Bechstein, 1798)","SPECIES","ACCEPTED","Animalia","2493136: Acrocephalus palustris (Bechstein, 1798)",FALSE
"89","Acrocephalus schoenobaenus",2493129,"Acrocephalus schoenobaenus (Linnaeus, 1758)","SPECIES","ACCEPTED","Animalia","2493129: Acrocephalus schoenobaenus (Linnaeus, 1758)",FALSE
"90","Acrocephalus scirpaceus",2493118,"Acrocephalus scirpaceus (Hermann, 1804)","SPECIES","ACCEPTED","Animalia","2493118: Acrocephalus scirpaceus (Hermann, 1804) | 7341266: Acrocephalus scirpaceus scirpaceus",FALSE
"91","Acrolobus emarginatus",7024788,"Acrolobus emarginatus (de Man, 1880) Boström, 1985","SPECIES","ACCEPTED","Animalia","7024788: Acrolobus emarginatus (de Man, 1880) Boström, 1985",FALSE
"92","Acronicta alni",1782726,"Acronicta alni (Linnaeus, 1767)","SPECIES","ACCEPTED","Animalia","1782726: Acronicta alni (Linnaeus, 1767)",FALSE
"93","Acronicta psi",1782948,"Acronicta psi (Linnaeus, 1758)","SPECIES","ACCEPTED","Animalia","1782948: Acronicta psi (Linnaeus, 1758)",FALSE
"94","Acronicta rumicis",1782672,"Acronicta rumicis (Linnaeus, 1758)","SPECIES","ACCEPTED","Animalia","1782672: Acronicta rumicis (Linnaeus, 1758)",FALSE
"95","Acronicta tridens",1783016,"Acronicta tridens (Denis & Schiffermüller, 1775)","SPECIES","ACCEPTED","Animalia","1783016: Acronicta tridens (Denis & Schiffermüller, 1775)",FALSE
"96","Acrossus luridus",1068608,"Acrossus luridus (Fabricius, 1775)","SPECIES","ACCEPTED","Animalia","1068608: Acrossus luridus (Fabricius, 1775)",FALSE
"97","Acrosternum heegeri",2079176,"Acrosternum heegeri Fieber, 1861","SPECIES","ACCEPTED","Animalia","2079176: Acrosternum heegeri Fieber, 1861",FALSE
"98","Acrotritia ardua",2188648,"Acrotritia ardua (Koch, 1841)","SPECIES","ACCEPTED","Animalia","2188648: Acrotritia ardua (Koch, 1841)",FALSE
"99","Acrotylus insubricus",5099079,"Acrotylus insubricus (Scopoli, 1786)","SPECIES","ACCEPTED","Animalia","5099079: Acrotylus insubricus (Scopoli, 1786)",FALSE
"100","Acrotylus longipes",5099098,"Acrotylus longipes (Charpentier, 1845)","SPECIES","ACCEPTED","Animalia","5099098: Acrotylus longipes (Charpentier, 1845)",FALSE
"101","Actaea europaea",5616602,"Actaea europaea (Schipcz.) J.Compton","SPECIES","ACCEPTED","Plantae","5616602: Actaea europaea (Schipcz.) J.Compton",FALSE
"102","Actaea spicata",5371473,"Actaea spicata L.","SPECIES","ACCEPTED","Plantae","5371473: Actaea spicata L.",FALSE
"103","Actebia fugax",4533824,"Actebia fugax (Treitschke, 1825)","SPECIES","ACCEPTED","Animalia","4533824: Actebia fugax (Treitschke, 1825) | 10307801: BOLD:ACY7636",FALSE
"104","Actinotia polyodon",1792292,"Actinotia polyodon (Clerck, 1759)","SPECIES","ACCEPTED","Animalia","1792292: Actinotia polyodon (Clerck, 1759)",FALSE
"105","Actitis hypoleucos",2481800,"Actitis hypoleucos (Linnaeus, 1758)","SPECIES","ACCEPTED","Animalia","2481800: Actitis hypoleucos (Linnaeus, 1758)",FALSE
"106","Aculepeira ceropegia",2159474,"Aculepeira ceropegia (Walckenaer, 1802)","SPECIES","ACCEPTED","Animalia","2159474: Aculepeira ceropegia (Walckenaer, 1802)",FALSE
"107","Acupalpus dubius",4475677,"Acupalpus dubius Schilsky, 1888","SPECIES","ACCEPTED","Animalia","4475677: Acupalpus dubius Schilsky, 1888",FALSE
"108","Acupalpus luteatus",7569949,"Acupalpus luteatus (Duftschmid, 1812)","SPECIES","ACCEPTED","Animalia","7569949: Acupalpus luteatus (Duftschmid, 1812)",FALSE
"109","Acuticauda erigerontis",2078205,"Acuticauda erigerontis Leclant & Remaudière, 1967","SPECIES","ACCEPTED","Animalia","2078205: Acuticauda erigerontis Leclant & Remaudière, 1967",FALSE
"110","Adalia bipunctata",1043097,"Adalia bipunctata (Linnaeus, 1758)","SPECIES","ACCEPTED","Animalia","1043097: Adalia bipunctata (Linnaeus, 1758)",FALSE
"111","Adalia decempunctata",4452227,"Adalia decempunctata (Linnaeus, 1758)","SPECIES","ACCEPTED","Animalia","4452227: Adalia decempunctata (Linnaeus, 1758)",FALSE
"112","Adela reaumurella",1860973,"Adela reaumurella (Linnaeus, 1758)","SPECIES","ACCEPTED","Animalia","1860973: Adela reaumurella (Linnaeus, 1758)",FALSE
"113","Adelphocoris lineolatus",9695352,"Adelphocoris lineolatus (Goeze, 1778)","SPECIES","ACCEPTED","Animalia","9695352: Adelphocoris lineolatus (Goeze, 1778)",FALSE
"114","Adelphocoris reicheli",7528780,"Adelphocoris reicheli (Fieber, 1836)","SPECIES","ACCEPTED","Animalia","7528780: Adelphocoris reicheli (Fieber, 1836)",FALSE
"115","Adelphocoris seticornis",2009421,"Adelphocoris seticornis (Fabricius, 1775)","SPECIES","ACCEPTED","Animalia","2009421: Adelphocoris seticornis (Fabricius, 1775)",FALSE
"116","Adelphocoris vandalicus",4487351,"Adelphocoris vandalicus (Rossi, 1790)","SPECIES","ACCEPTED","Animalia","4487351: Adelphocoris vandalicus (Rossi, 1790)",FALSE
"117","Adenostyles alliariae",3133702,"Adenostyles alliariae (Gouan) A.Kern.","SPECIES","ACCEPTED","Plantae","3133702: Adenostyles alliariae (Gouan) A.Kern.",FALSE
"118","Adenostyles alpina",3133705,"Adenostyles alpina (L.) Bluff & Fingerh.","SPECIES","ACCEPTED","Plantae","3133705: Adenostyles alpina (L.) Bluff & Fingerh.",FALSE
"119","Adonis ×hybrida",5616342,"Adonis ×hybrida C.F.Wolff ex Nyman","SPECIES","ACCEPTED","Plantae","5616410: Adonis ×transsilvanica Simonov.",FALSE
"120","Adonis aestivalis",5371707,"Adonis aestivalis L.","SPECIES","ACCEPTED","Plantae","5371707: Adonis aestivalis L. | 7277946: Adonis aestivalis subsp. aestivalis",FALSE
"121","Adonis flammea",8246651,"Adonis flammea Jacq.","SPECIES","ACCEPTED","Plantae","8246651: Adonis flammea Jacq.",FALSE
"122","Adonis microcarpa",5616463,"Adonis microcarpa DC.","SPECIES","ACCEPTED","Plantae","5616463: Adonis microcarpa DC.",FALSE
"123","Adonis vernalis",5371711,"Adonis vernalis L.","SPECIES","ACCEPTED","Plantae","5371711: Adonis vernalis L.",FALSE
"124","Adonis volgensis",7721690,"Adonis volgensis DC.","SPECIES","ACCEPTED","Plantae","7721690: Adonis volgensis DC.",FALSE
"125","Adonis wolgensis",5616594,"Adonis wolgensis Steven ex DC., 1817","SPECIES","DOUBTFUL","Plantae","5616594: Adonis wolgensis Steven ex DC., 1817",FALSE
"126","Adonis wolgensis",8175243,"Adonis wolgensis Steven","SPECIES","ACCEPTED","Plantae","8175243: Adonis wolgensis Steven",FALSE
"127","Adoxa moschatellina",2888794,"Adoxa moschatellina L.","SPECIES","ACCEPTED","Plantae","2888794: Adoxa moschatellina L.",FALSE
"128","Adscita statices",4522753,"Adscita statices (Linnaeus, 1758)","SPECIES","ACCEPTED","Animalia","4522753: Adscita statices (Linnaeus, 1758)",FALSE
"129","Aedes albopictus",1651430,"Aedes albopictus (Skuse, 1894)","SPECIES","ACCEPTED","Animalia","1651430: Aedes albopictus (Skuse, 1894)",TRUE
"130","Aedes caspius",1652063,"Aedes caspius (Pallas, 1771)","SPECIES","ACCEPTED","Animalia","4519717: Ochlerotatus caspius (Pallas, 1771)",FALSE
"131","Aedes cinereus",10884269,"Aedes cinereus Meigen, 1818","SPECIES","ACCEPTED","Animalia","10884269: Aedes cinereus Meigen, 1818",FALSE
"132","Aedes detritus",1651278,"Aedes detritus (Haliday, 1833)","SPECIES","ACCEPTED","Animalia","4519696: Ochlerotatus detritus (Haliday, 1833)",FALSE
"133","Aedes flavescens",1651126,"Aedes flavescens (Müller, 1764)","SPECIES","ACCEPTED","Animalia","4519699: Ochlerotatus flavescens (Muller, 1764) | 10192261: BOLD:ACE3017",FALSE
"134","Aedes hungaricus",1651769,"Aedes hungaricus Mihályi, 1955","SPECIES","ACCEPTED","Animalia","4519712: Ochlerotatus hungaricus (Mihályi, 1955) | 10455554: BOLD:ADK6018",FALSE
"135","Aedes japonicus",1652212,"Aedes japonicus (Theobald, 1901)","SPECIES","ACCEPTED","Animalia","1652212: Aedes japonicus (Theobald, 1901)",FALSE
"136","Aedes vexans",1652274,"Aedes vexans (Meigen, 1830)","SPECIES","ACCEPTED","Animalia","1652274: Aedes vexans (Meigen, 1830)",FALSE
"137","Aedia funesta",5113847,"Aedia funesta (Esper, 1786)","SPECIES","ACCEPTED","Animalia","5113847: Aedia funesta (Esper, 1786)",FALSE
"138","Aegilops cylindrica",5289783,"Aegilops cylindrica Host","SPECIES","ACCEPTED","Plantae","2703511: Triticum cylindricum (Host) Ces., Pass. & Gibelli | 5289783: Aegilops cylindrica Host",FALSE
"139","Aegithalos caudatus",2495000,"Aegithalos caudatus (Linnaeus, 1758)","SPECIES","DOUBTFUL","Animalia","2495000: Aegithalos caudatus (Linnaeus, 1758) | 5844999: Aegithalos caudatus europaeus (Hermann, 1804) | 7341662: Aegithalos caudatus caudatus",FALSE
"140","Aegolius funereus",5739298,"Aegolius funereus (Linnaeus, 1758)","SPECIES","ACCEPTED","Animalia","5739298: Aegolius funereus (Linnaeus, 1758)",FALSE
"141","Aegomorphus clavipes",5003411,"Aegomorphus clavipes (Schrank, 1781)","SPECIES","ACCEPTED","Animalia","5003411: Aegomorphus clavipes (Schrank, 1781)",FALSE
"142","Aegonychon purpurocaeruleum",4063960,"Aegonychon purpurocaeruleum (L.) Holub","SPECIES","ACCEPTED","Plantae","4063960: Aegonychon purpurocaeruleum (L.) Holub",FALSE
"143","Aegopinella epipedostoma",4562558,"Aegopinella epipedostoma (Fagot, 1879)","SPECIES","ACCEPTED","Animalia","4562558: Aegopinella epipedostoma (Fagot, 1879)",FALSE
"144","Aegopinella minor",4562574,"Aegopinella minor (Stabile, 1864)","SPECIES","ACCEPTED","Animalia","4562574: Aegopinella minor (Stabile, 1864)",FALSE
"145","Aegopinella nitens",4562566,"Aegopinella nitens (Michaud, 1831)","SPECIES","ACCEPTED","Animalia","4562566: Aegopinella nitens (Michaud, 1831) | 9885907: Retinella nitens Gmelin, 1791",FALSE
"146","Aegopinella nitidula",4562554,"Aegopinella nitidula (Draparnaud, 1805)","SPECIES","ACCEPTED","Animalia","11026421: Retinella nitidula Draparnaud, 1805",FALSE
"147","Aegopinella pura",4562571,"Aegopinella pura (Alder, 1830)","SPECIES","ACCEPTED","Animalia","4562571: Aegopinella pura (Alder, 1830) | 10923745: Retinella pura Alder, 1830",FALSE
"148","Aegopodium podagraria",3034620,"Aegopodium podagraria L.","SPECIES","ACCEPTED","Plantae","3034620: Aegopodium podagraria L.",FALSE
"149","Aegosoma scabricorne",1146023,"Aegosoma scabricorne (Scopoli, 1763)","SPECIES","ACCEPTED","Animalia","1146023: Aegosoma scabricorne (Scopoli, 1763)",FALSE
"150","Aegypius monachus",5229165,"Aegypius monachus (Linnaeus, 1766)","SPECIES","ACCEPTED","Animalia","5229165: Aegypius monachus (Linnaeus, 1766)",FALSE
"151","Aelia acuminata",2079123,"Aelia acuminata (Linnaeus, 1758)","SPECIES","ACCEPTED","Animalia","2079123: Aelia acuminata (Linnaeus, 1758)",FALSE
"152","Aelia rostrata",7906393,"Aelia rostrata Boheman, 1852","SPECIES","ACCEPTED","Animalia","7906393: Aelia rostrata Boheman, 1852",FALSE
